state,state_name,year,total,sheltered,unsheltered
TN,Tennessee ,2013,9528.0,6321.0,3207.0
TX,Texas ,2013,29615.0,17525.0,12090.0
UT,Utah ,2013,3277.0,2859.0,418.0
VA,Virginia ,2013,7625.0,6603.0,1022.0
VT,Vermont ,2013,1454.0,1270.0,184.0
WA,Washington ,2013,17760.0,12707.0,5053.0
WI,Wisconsin ,2013,6104.0,5736.0,368.0
WV,West Virginia ,2013,2240.0,1612.0,628.0
WY,Wyoming ,2013,953.0,501.0,452.0
AK,Alaska ,2012,1913.0,1716.0,197.0
AL,Alabama,2012,5209.0,3664.0,1545.0
AR,Arkansas ,2012,4214.0,1602.0,2612.0
AZ,Arizona ,2012,11302.0,8215.0,3087.0
CA,California ,2012,120098.0,45890.0,74208.0
CO,Colorado ,2012,16768.0,7260.0,9508.0
CT,Connecticut ,2012,4209.0,3514.0,695.0
DC,Washington DC,2012,6954.0,6275.0,679.0
DE,Delaware ,2012,1008.0,986.0,22.0
FL,Florida ,2012,55170.0,19832.0,35338.0
GA,Georgia ,2012,20516.0,8320.0,12196.0
HI,Hawaii ,2012,6246.0,3726.0,2520.0
IA,Iowa ,2012,2928.0,2780.0,148.0
ID,Idaho ,2012,1968.0,1482.0,486.0
IL,Illinois ,2012,14144.0,11149.0,2995.0
IN,Indiana ,2012,6259.0,5370.0,889.0
KS,Kansas ,2012,2684.0,2350.0,334.0
KY,Kentucky ,2012,5230.0,4319.0,911.0
LA,Louisiana ,2012,7772.0,3807.0,3965.0
MA,Massachusetts ,2012,17501.0,16779.0,722.0
MD,Maryland ,2012,9454.0,5942.0,3512.0
ME,Maine ,2012,2393.0,2360.0,33.0
MI,Michigan ,2012,12592.0,10270.0,2322.0
MN,Minnesota ,2012,7744.0,6754.0,990.0
MO,Missouri ,2012,10237.0,7893.0,2344.0
MS,Mississippi ,2012,2413.0,1042.0,1371.0
MT,Montana ,2012,1833.0,1153.0,680.0
NC,North Carolina ,2012,13524.0,8809.0,4715.0
ND,North Dakota ,2012,688.0,635.0,53.0
NE,Nebraska ,2012,3789.0,2957.0,832.0
NH,New Hampshire ,2012,1496.0,1329.0,167.0
NJ,New Jersey ,2012,13025.0,11429.0,1596.0
NM,New Mexico ,2012,3245.0,2397.0,848.0
NV,Nevada ,2012,8497.0,3970.0,4527.0
NY,New York ,2012,69566.0,65482.0,4084.0
OH,Ohio ,2012,13977.0,12246.0,1731.0
OK,Oklahoma ,2012,5032.0,3043.0,1989.0
OR,Oregon ,2012,15828.0,6545.0,9283.0
PA,Pennsylvania ,2012,14736.0,13660.0,1076.0
RI,Rhode Island ,2012,1277.0,1249.0,28.0
SC,South Carolina ,2012,4915.0,2776.0,2139.0
SD,South Dakota ,2012,859.0,795.0,64.0
TN,Tennessee ,2012,9426.0,5778.0,3648.0
TX,Texas ,2012,34052.0,17501.0,16551.0
UT,Utah ,2012,3527.0,3052.0,475.0
VA,Virginia ,2012,8424.0,6995.0,1429.0
VT,Vermont ,2012,1160.0,937.0,223.0
WA,Washington ,2012,20504.0,15027.0,5477.0
WI,Wisconsin ,2012,6027.0,5446.0,581.0
WV,West Virginia ,2012,2410.0,1533.0,877.0
WY,Wyoming ,2012,1813.0,475.0,1338.0
AK,Alaska ,2011,2128.0,1760.0,368.0
AL,Alabama,2011,5558.0,3749.0,1809.0
AR,Arkansas ,2011,3424.0,1802.0,1622.0
AZ,Arizona ,2011,10504.0,7302.0,3202.0
CA,California ,2011,125128.0,50691.0,74437.0
CO,Colorado ,2011,15116.0,6146.0,8970.0
CT,Connecticut ,2011,4456.0,3761.0,695.0
DC,Washington DC,2011,6546.0,6241.0,305.0
DE,Delaware ,2011,1035.0,1013.0,22.0
FL,Florida ,2011,56687.0,20824.0,35863.0
GA,Georgia ,2011,20975.0,8723.0,12252.0
HI,Hawaii ,2011,6188.0,3632.0,2556.0
IA,Iowa ,2011,3134.0,3013.0,121.0
ID,Idaho ,2011,2199.0,1585.0,614.0
IL,Illinois ,2011,14009.0,11089.0,2920.0
IN,Indiana ,2011,6196.0,5550.0,646.0
KS,Kansas ,2011,2511.0,2222.0,289.0
KY,Kentucky ,2011,6034.0,5183.0,851.0
LA,Louisiana ,2011,9291.0,3405.0,5886.0
MA,Massachusetts ,2011,16664.0,15961.0,703.0
MD,Maryland ,2011,10208.0,6496.0,3712.0
ME,Maine ,2011,2447.0,2418.0,29.0
MI,Michigan ,2011,13185.0,10864.0,2321.0
MN,Minnesota ,2011,7495.0,6567.0,928.0
MO,Missouri ,2011,8989.0,6718.0,2271.0
MS,Mississippi ,2011,2306.0,1056.0,1250.0
MT,Montana ,2011,1768.0,1216.0,552.0
NC,North Carolina ,2011,12896.0,9245.0,3651.0
ND,North Dakota ,2011,603.0,560.0,43.0
NE,Nebraska ,2011,3548.0,3041.0,507.0
NH,New Hampshire ,2011,1469.0,1159.0,310.0
NJ,New Jersey ,2011,14137.0,12830.0,1307.0
NM,New Mexico ,2011,3601.0,2753.0,848.0
NV,Nevada ,2011,9150.0,4545.0,4605.0
NY,New York ,2011,63445.0,59778.0,3667.0
OH,Ohio ,2011,13030.0,11224.0,1806.0
OK,Oklahoma ,2011,4625.0,2988.0,1637.0
OR,Oregon ,2011,17254.0,7012.0,10242.0
PA,Pennsylvania ,2011,15096.0,14036.0,1060.0
RI,Rhode Island ,2011,1070.0,1039.0,31.0
SC,South Carolina ,2011,5093.0,2954.0,2139.0
SD,South Dakota ,2011,826.0,762.0,64.0
TN,Tennessee ,2011,9113.0,5915.0,3198.0
TX,Texas ,2011,36911.0,18972.0,17939.0
UT,Utah ,2011,3130.0,2687.0,443.0
VA,Virginia ,2011,8816.0,7386.0,1430.0
VT,Vermont ,2011,1144.0,1021.0,123.0
WA,Washington ,2011,20439.0,15075.0,5364.0
WI,Wisconsin ,2011,5785.0,5355.0,430.0
WV,West Virginia ,2011,2211.0,1405.0,806.0
WY,Wyoming ,2011,1038.0,195.0,843.0
AK,Alaska ,2010,1863.0,1671.0,192.0
AL,Alabama,2010,6046.0,3891.0,2155.0
AR,Arkansas ,2010,2762.0,1728.0,1034.0
AZ,Arizona ,2010,13711.0,7214.0,6497.0
CA,California ,2010,123480.0,50899.0,72581.0
CO,Colorado ,2010,15482.0,9031.0,6451.0
CT,Connecticut ,2010,4316.0,3817.0,499.0
DC,Washington DC,2010,6539.0,6109.0,430.0
DE,Delaware ,2010,982.0,930.0,52.0
FL,Florida ,2010,57551.0,21817.0,35734.0
GA,Georgia ,2010,19836.0,8746.0,11090.0
HI,Hawaii ,2010,5834.0,3535.0,2299.0
IA,Iowa ,2010,3014.0,2903.0,111.0
ID,Idaho ,2010,2346.0,1564.0,782.0
IL,Illinois ,2010,14395.0,12208.0,2187.0
IN,Indiana ,2010,6452.0,5233.0,1219.0
KS,Kansas ,2010,2024.0,1828.0,196.0
KY,Kentucky ,2010,6623.0,5599.0,1024.0
LA,Louisiana ,2010,12482.0,4096.0,8386.0
MA,Massachusetts ,2010,16646.0,15595.0,1051.0
MD,Maryland ,2010,10845.0,6515.0,4330.0
ME,Maine ,2010,2379.0,2351.0,28.0
MI,Michigan ,2010,13058.0,10219.0,2839.0
MN,Minnesota ,2010,7869.0,6730.0,1139.0
MO,Missouri ,2010,8122.0,6336.0,1786.0
MS,Mississippi ,2010,2743.0,1181.0,1562.0
MT,Montana ,2010,1615.0,1168.0,447.0
NC,North Carolina ,2010,12191.0,9173.0,3018.0
ND,North Dakota ,2010,799.0,768.0,31.0
NE,Nebraska ,2010,3877.0,3355.0,522.0
NH,New Hampshire ,2010,1574.0,1337.0,237.0
NJ,New Jersey ,2010,13737.0,12083.0,1654.0
NM,New Mexico ,2010,3475.0,2108.0,1367.0
NV,Nevada ,2010,11205.0,7848.0,3357.0
NY,New York ,2010,65606.0,61467.0,4139.0
OH,Ohio ,2010,12569.0,10729.0,1840.0
OK,Oklahoma ,2010,5229.0,3315.0,1914.0
OR,Oregon ,2010,19492.0,7231.0,12261.0
PA,Pennsylvania ,2010,14516.0,13418.0,1098.0
RI,Rhode Island ,2010,1282.0,1206.0,76.0
SC,South Carolina ,2010,4473.0,3036.0,1437.0
SD,South Dakota ,2010,731.0,667.0,64.0
TN,Tennessee ,2010,10276.0,6999.0,3277.0
TX,Texas ,2010,35121.0,19191.0,15930.0
UT,Utah ,2010,3284.0,2722.0,562.0
VA,Virginia ,2010,9080.0,7439.0,1641.0
VT,Vermont ,2010,1220.0,1078.0,142.0
WA,Washington ,2010,22878.0,16489.0,6389.0
WI,Wisconsin ,2010,6333.0,5253.0,1080.0
WV,West Virginia ,2010,2264.0,1524.0,740.0
WY,Wyoming ,2010,579.0,515.0,64.0
AK,Alaska ,2009,1992.0,1665.0,327.0
AL,Alabama,2009,6080.0,3913.0,2167.0
AR,Arkansas ,2009,2852.0,1730.0,1122.0
AZ,Arizona ,2009,14721.0,8366.0,6355.0
CA,California ,2009,123678.0,50777.0,72901.0
CO,Colorado ,2009,15268.0,9031.0,6237.0
CT,Connecticut ,2009,4605.0,4103.0,502.0
DC,Washington DC,2009,6228.0,5907.0,321.0
DE,Delaware ,2009,1130.0,1083.0,47.0
FL,Florida ,2009,55599.0,21867.0,33732.0
GA,Georgia ,2009,20360.0,9419.0,10941.0
HI,Hawaii ,2009,5782.0,3268.0,2514.0
IA,Iowa ,2009,3380.0,3221.0,159.0
ID,Idaho ,2009,1939.0,1477.0,462.0
IL,Illinois ,2009,14055.0,11851.0,2204.0
IN,Indiana ,2009,6984.0,5206.0,1778.0
KS,Kansas ,2009,1892.0,1696.0,196.0
KY,Kentucky ,2009,5999.0,5299.0,700.0
LA,Louisiana ,2009,12504.0,4118.0,8386.0
MA,Massachusetts ,2009,15482.0,14476.0,1006.0
MD,Maryland ,2009,11698.0,7446.0,4252.0
ME,Maine ,2009,2444.0,2406.0,38.0
MI,Michigan ,2009,14005.0,11298.0,2707.0
MN,Minnesota ,2009,7718.0,6772.0,946.0
MO,Missouri ,2009,6959.0,5469.0,1490.0
MS,Mississippi ,2009,2797.0,1221.0,1576.0
MT,Montana ,2009,1196.0,833.0,363.0
NC,North Carolina ,2009,12918.0,8473.0,4445.0
ND,North Dakota ,2009,773.0,765.0,8.0
NE,Nebraska ,2009,3718.0,3079.0,639.0
NH,New Hampshire ,2009,1645.0,1406.0,239.0
NJ,New Jersey ,2009,13169.0,11871.0,1298.0
NM,New Mexico ,2009,3475.0,2108.0,1367.0
NV,Nevada ,2009,11089.0,7792.0,3297.0
