year,count_type,estimate,margin_of_error,state
2007,am_indian_native,59136,2727.0,MT
2007,asian,5040,907.0,MT
2007,hawaiian_islander,774,619.0,MT
2007,other,5517,1644.0,MT
2007,two_or_more,23228,2802.0,MT
2007,two_or_more_inculding_other,1898,949.0,MT
2007,total,1774571,,NE
2007,two_or_more_exc_other_or_three_plus,31623,3420.0,NE
2007,white,1582113,4791.0,NE
2007,black_aa,70333,2616.0,NE
2007,am_indian_native,11848,1601.0,NE
2007,asian,25731,1670.0,NE
2007,hawaiian_islander,2945,1588.0,NE
2007,other,46045,4205.0,NE
2007,two_or_more,35556,3686.0,NE
2007,two_or_more_inculding_other,3933,1438.0,NE
2007,total,2565382,,NV
2007,two_or_more_exc_other_or_three_plus,64322,5731.0,NV
2007,white,1897158,13889.0,NV
2007,black_aa,190238,4094.0,NV
2007,am_indian_native,32137,2465.0,NV
2007,asian,155603,3248.0,NV
2007,hawaiian_islander,13691,1876.0,NV
2007,other,200328,12865.0,NV
2007,two_or_more,76227,6513.0,NV
2007,two_or_more_inculding_other,11905,2121.0,NV
2007,total,1315828,,NH
2007,two_or_more_exc_other_or_three_plus,14747,2088.0,NH
2007,white,1247023,2726.0,NH
2007,black_aa,12546,1473.0,NH
2007,am_indian_native,2727,762.0,NH
2007,asian,26790,1360.0,NH
2007,hawaiian_islander,269,231.0,NH
2007,other,10142,2586.0,NH
2007,two_or_more,16331,2106.0,NH
2007,two_or_more_inculding_other,1584,746.0,NH
2007,total,8685920,,NJ
2007,two_or_more_exc_other_or_three_plus,101359,6424.0,NJ
2007,white,6037580,18406.0,NJ
2007,black_aa,1185829,7876.0,NJ
2007,am_indian_native,18022,2224.0,NJ
2007,asian,648484,4774.0,NJ
2007,hawaiian_islander,1677,984.0,NJ
2007,other,652830,18450.0,NJ
2007,two_or_more,141498,8328.0,NJ
2007,two_or_more_inculding_other,40139,4569.0,NJ
2007,total,1969915,,NM
2007,two_or_more_exc_other_or_three_plus,33550,4051.0,NM
2007,white,1360378,11251.0,NM
2007,black_aa,44646,3260.0,NM
2007,am_indian_native,177515,3707.0,NM
2007,asian,27006,1511.0,NM
2007,hawaiian_islander,884,713.0,NM
2007,other,306480,10794.0,NM
2007,two_or_more,53006,4406.0,NM
2007,two_or_more_inculding_other,19456,2579.0,NM
2007,total,19297729,,NY
2007,two_or_more_exc_other_or_three_plus,253470,12861.0,NY
2007,white,12742889,31915.0,NY
2007,black_aa,3010970,11451.0,NY
2007,am_indian_native,63864,4161.0,NY
2007,asian,1328767,7575.0,NY
2007,hawaiian_islander,8375,2046.0,NY
2007,other,1778293,30564.0,NY
2007,two_or_more,364571,15431.0,NY
2007,two_or_more_inculding_other,111101,8849.0,NY
2007,total,9061032,,NC
2007,two_or_more_exc_other_or_three_plus,120766,7818.0,NC
2007,white,6340312,14126.0,NC
2007,black_aa,1928080,8876.0,NC
2007,am_indian_native,101359,3917.0,NC
2007,asian,163503,3430.0,NC
2007,hawaiian_islander,4172,1647.0,NC
2007,other,381740,15305.0,NC
2007,two_or_more,141866,8838.0,NC
2007,two_or_more_inculding_other,21100,3781.0,NC
2007,total,639715,,ND
2007,two_or_more_exc_other_or_three_plus,10294,1760.0,ND
2007,white,580333,1184.0,ND
2007,black_aa,5301,1018.0,ND
2007,am_indian_native,32941,1714.0,ND
2007,asian,6708,1510.0,ND
2007,hawaiian_islander,744,593.0,ND
2007,other,2788,1024.0,ND
2007,two_or_more,10900,1814.0,ND
2007,two_or_more_inculding_other,606,387.0,ND
2007,total,11466917,,OH
2007,two_or_more_exc_other_or_three_plus,168128,7513.0,OH
2007,white,9629758,7249.0,OH
2007,black_aa,1344674,7488.0,OH
2007,am_indian_native,20414,2480.0,OH
2007,asian,177947,3737.0,OH
2007,hawaiian_islander,3704,1709.0,OH
2007,other,103010,6744.0,OH
2007,two_or_more,187410,8199.0,OH
2007,two_or_more_inculding_other,19282,2695.0,OH
2007,total,3617316,,OK
2007,two_or_more_exc_other_or_three_plus,212854,10021.0,OK
2007,white,2710090,7689.0,OK
2007,black_aa,270332,4558.0,OK
2007,am_indian_native,245716,7223.0,OK
2007,asian,57885,2936.0,OK
2007,hawaiian_islander,2694,1354.0,OK
2007,other,104040,7908.0,OK
2007,two_or_more,226559,10504.0,OK
2007,two_or_more_inculding_other,13705,2342.0,OK
2007,total,3747455,,OR
2007,two_or_more_exc_other_or_three_plus,108735,7401.0,OR
2007,white,3216232,10205.0,OR
2007,black_aa,62852,3262.0,OR
2007,am_indian_native,71334,7476.0,OR
2007,asian,134150,3529.0,OR
2007,hawaiian_islander,7436,965.0,OR
2007,other,131493,10733.0,OR
2007,two_or_more,123958,7816.0,OR
2007,two_or_more_inculding_other,15223,3255.0,OR
2007,total,12432792,,PA
2007,two_or_more_exc_other_or_three_plus,140461,7068.0,PA
2007,white,10408647,10856.0,PA
2007,black_aa,1289389,6610.0,PA
2007,am_indian_native,16889,2076.0,PA
2007,asian,294314,3401.0,PA
2007,hawaiian_islander,2636,1064.0,PA
2007,other,252574,11178.0,PA
2007,two_or_more,168343,8222.0,PA
2007,two_or_more_inculding_other,27882,4130.0,PA
2007,total,1057832,,RI
2007,two_or_more_exc_other_or_three_plus,16023,2287.0,RI
2007,white,875512,5204.0,RI
2007,black_aa,59107,3278.0,RI
2007,am_indian_native,3006,973.0,RI
2007,asian,29635,1644.0,RI
2007,hawaiian_islander,58,102.0,RI
2007,other,68106,5642.0,RI
2007,two_or_more,22408,3067.0,RI
2007,two_or_more_inculding_other,6385,1930.0,RI
2007,total,4407709,,SC
2007,two_or_more_exc_other_or_three_plus,48089,5411.0,SC
2007,white,2968269,5149.0,SC
2007,black_aa,1253575,6783.0,SC
2007,am_indian_native,13342,2177.0,SC
2007,asian,54720,2424.0,SC
2007,hawaiian_islander,1956,952.0,SC
2007,other,62461,5702.0,SC
2007,two_or_more,53386,5638.0,SC
2007,two_or_more_inculding_other,5297,1137.0,SC
2007,total,796215,,SD
2007,two_or_more_exc_other_or_three_plus,12801,2392.0,SD
2007,white,695699,2126.0,SD
2007,black_aa,8679,1693.0,SD
2007,am_indian_native,64812,1813.0,SD
2007,asian,6665,819.0,SD
2007,hawaiian_islander,331,510.0,SD
2007,other,5482,1633.0,SD
2007,two_or_more,14547,2384.0,SD
2007,two_or_more_inculding_other,1746,921.0,SD
2007,total,6156719,,TN
2007,two_or_more_exc_other_or_three_plus,69845,4935.0,TN
2007,white,4868752,7804.0,TN
2007,black_aa,1029129,5361.0,TN
2007,am_indian_native,12294,1889.0,TN
2007,asian,79214,2906.0,TN
2007,hawaiian_islander,3876,2037.0,TN
2007,other,84395,7764.0,TN
2007,two_or_more,79059,6108.0,TN
2007,two_or_more_inculding_other,9214,3149.0,TN
2007,total,23904380,,TX
2007,two_or_more_exc_other_or_three_plus,288209,12578.0,TX
2007,white,16804155,50932.0,TX
2007,black_aa,2757554,10391.0,TX
2007,am_indian_native,111209,6280.0,TX
2007,asian,806844,7050.0,TX
2007,hawaiian_islander,17053,2260.0,TX
2007,other,2964688,52327.0,TX
2007,two_or_more,442877,16627.0,TX
2007,two_or_more_inculding_other,154668,9981.0,TX
2007,total,2645330,,UT
2007,two_or_more_exc_other_or_three_plus,43391,4104.0,UT
2007,white,2381687,7640.0,UT
2007,black_aa,25465,2820.0,UT
2007,am_indian_native,31091,1959.0,UT
2007,asian,52107,2529.0,UT
2007,hawaiian_islander,21241,2324.0,UT
2007,other,81216,7061.0,UT
2007,two_or_more,52523,4528.0,UT
2007,two_or_more_inculding_other,9132,1992.0,UT
2007,total,621254,,VT
2007,two_or_more_exc_other_or_three_plus,9235,1197.0,VT
2007,white,597245,893.0,VT
2007,black_aa,3873,690.0,VT
2007,am_indian_native,1793,492.0,VT
2007,asian,6951,693.0,VT
2007,hawaiian_islander,78,88.0,VT
2007,other,1319,542.0,VT
2007,two_or_more,9995,1288.0,VT
2007,two_or_more_inculding_other,760,389.0,VT
2007,total,7712091,,VA
2007,two_or_more_exc_other_or_three_plus,133985,7963.0,VA
2007,white,5429003,11229.0,VA
2007,black_aa,1509278,9012.0,VA
2007,am_indian_native,22825,3490.0,VA
2007,asian,373305,3933.0,VA
2007,hawaiian_islander,5184,1647.0,VA
2007,other,218333,11782.0,VA
2007,two_or_more,154163,8890.0,VA
2007,two_or_more_inculding_other,20178,3340.0,VA
2007,total,6468424,,WA
2007,two_or_more_exc_other_or_three_plus,210738,8832.0,WA
2007,white,5219137,12474.0,WA
2007,black_aa,217876,5165.0,WA
2007,am_indian_native,89058,4959.0,WA
2007,asian,429406,5531.0,WA
2007,hawaiian_islander,27564,1432.0,WA
2007,other,251023,11098.0,WA
2007,two_or_more,234360,9711.0,WA
2007,two_or_more_inculding_other,23622,3264.0,WA
2007,total,1812035,,WV
2007,two_or_more_exc_other_or_three_plus,19299,2384.0,WV
2007,white,1710622,2087.0,WV
2007,black_aa,62397,2310.0,WV
2007,am_indian_native,2694,913.0,WV
2007,asian,10126,1421.0,WV
2007,hawaiian_islander,0,265.0,WV
2007,other,5607,1509.0,WV
2007,two_or_more,20589,2381.0,WV
2007,two_or_more_inculding_other,1290,854.0,WV
2007,total,5601640,,WI
2007,two_or_more_exc_other_or_three_plus,63539,4820.0,WI
2007,white,4891076,6051.0,WI
2007,black_aa,335859,4202.0,WI
2007,am_indian_native,46159,2214.0,WI
2007,asian,108711,3321.0,WI
2007,hawaiian_islander,2173,939.0,WI
2007,other,140771,6073.0,WI
2007,two_or_more,76891,5221.0,WI
2007,two_or_more_inculding_other,13352,2296.0,WI
2007,total,522830,,WY
2007,two_or_more_exc_other_or_three_plus,11906,1948.0,WY
2007,white,479076,2057.0,WY
2007,black_aa,3297,1419.0,WY
2007,am_indian_native,13100,1348.0,WY
2007,asian,2939,1195.0,WY
2007,hawaiian_islander,53,77.0,WY
2007,other,9686,1852.0,WY
2007,two_or_more,14679,2170.0,WY
2007,two_or_more_inculding_other,2773,1086.0,WY
2008,total,4661900,,AL
2008,two_or_more_exc_other_or_three_plus,57540,5397.0,AL
2008,white,3276551,5764.0,AL
2008,black_aa,1220643,5459.0,AL
2008,am_indian_native,23966,2966.0,AL
2008,asian,45539,2563.0,AL
2008,hawaiian_islander,1127,749.0,AL
2008,other,33459,4931.0,AL
2008,two_or_more,60615,5519.0,AL
2008,two_or_more_inculding_other,3075,1066.0,AL
2008,total,686293,,AK
2008,two_or_more_exc_other_or_three_plus,51359,4097.0,AK
2008,white,474317,2992.0,AK
2008,black_aa,24883,3362.0,AK
2008,am_indian_native,87337,3730.0,AK
2008,asian,31826,1833.0,AK
2008,hawaiian_islander,3764,596.0,AK
2008,other,8553,2195.0,AK
2008,two_or_more,55613,4357.0,AK
2008,two_or_more_inculding_other,4254,1479.0,AK
2008,total,6500180,,AZ
2008,two_or_more_exc_other_or_three_plus,122972,8195.0,AZ
2008,white,5203987,24782.0,AZ
2008,black_aa,235758,5217.0,AZ
2008,am_indian_native,286749,6948.0,AZ
2008,asian,154416,4412.0,AZ
2008,hawaiian_islander,9340,1212.0,AZ
2008,other,442577,23553.0,AZ
2008,two_or_more,167353,9487.0,AZ
2008,two_or_more_inculding_other,44381,4519.0,AZ
2008,total,2855390,,AR
2008,two_or_more_exc_other_or_three_plus,50961,4456.0,AR
2008,white,2247623,5990.0,AR
2008,black_aa,442636,4009.0,AR
2008,am_indian_native,14967,1884.0,AR
2008,asian,29466,2253.0,AR
2008,hawaiian_islander,1916,511.0,AR
2008,other,62280,5645.0,AR
2008,two_or_more,56502,4787.0,AR
2008,two_or_more_inculding_other,5541,1876.0,AR
2008,total,36756666,,CA
2008,two_or_more_exc_other_or_three_plus,959754,22062.0,CA
2008,white,22961988,65263.0,CA
2008,black_aa,2260601,14054.0,CA
2008,am_indian_native,314380,14041.0,CA
2008,asian,4548741,13354.0,CA
2008,hawaiian_islander,132180,5944.0,CA
2008,other,5228278,64372.0,CA
2008,two_or_more,1310498,26071.0,CA
2008,two_or_more_inculding_other,350744,15458.0,CA
2008,total,4939456,,CO
2008,two_or_more_exc_other_or_three_plus,122233,7927.0,CO
2008,white,4185668,14863.0,CO
2008,black_aa,187556,4562.0,CO
2008,am_indian_native,47835,4454.0,CO
2008,asian,126143,3427.0,CO
2008,hawaiian_islander,5464,1333.0,CO
2008,other,234656,13697.0,CO
2008,two_or_more,152134,8663.0,CO
2008,two_or_more_inculding_other,29901,3764.0,CO
2008,total,3501252,,CT
2008,two_or_more_exc_other_or_three_plus,61791,6270.0,CT
2008,white,2805744,10563.0,CT
2008,black_aa,331149,5145.0,CT
2008,am_indian_native,8121,1875.0,CT
2008,asian,121295,2685.0,CT
2008,hawaiian_islander,1008,667.0,CT
2008,other,159822,10325.0,CT
2008,two_or_more,74113,6532.0,CT
2008,two_or_more_inculding_other,12322,2700.0,CT
2008,total,873092,,DE
2008,two_or_more_exc_other_or_three_plus,13621,2435.0,DE
2008,white,634981,3460.0,DE
2008,black_aa,179664,2808.0,DE
2008,am_indian_native,2652,696.0,DE
2008,asian,25280,810.0,DE
2008,hawaiian_islander,135,173.0,DE
2008,other,15589,3408.0,DE
2008,two_or_more,14791,2497.0,DE
2008,two_or_more_inculding_other,1170,708.0,DE
2008,total,591833,,
2008,two_or_more_exc_other_or_three_plus,10499,3066.0,
2008,white,221911,3817.0,
2008,black_aa,316278,3298.0,
2008,am_indian_native,2212,795.0,
2008,asian,20091,755.0,
2008,hawaiian_islander,564,760.0,
2008,other,18958,3748.0,
2008,two_or_more,11819,3447.0,
2008,two_or_more_inculding_other,1320,805.0,
2008,total,18328340,,FL
2008,two_or_more_exc_other_or_three_plus,272441,13652.0,FL
2008,white,14215502,25777.0,FL
2008,black_aa,2815369,12463.0,FL
2008,am_indian_native,47526,4877.0,FL
2008,asian,420393,5048.0,FL
2008,hawaiian_islander,7560,1547.0,FL
2008,other,480978,23831.0,FL
2008,two_or_more,341012,14559.0,FL
2008,two_or_more_inculding_other,68571,5898.0,FL
2008,total,9685744,,GA
2008,two_or_more_exc_other_or_three_plus,115583,7963.0,GA
2008,white,5998817,17185.0,GA
2008,black_aa,2904035,10163.0,GA
2008,am_indian_native,22754,3006.0,GA
2008,asian,277323,4780.0,GA
2008,hawaiian_islander,3249,1361.0,GA
2008,other,345171,18299.0,GA
2008,two_or_more,134395,8695.0,GA
2008,two_or_more_inculding_other,18812,2976.0,GA
2008,total,1288198,,HI
2008,two_or_more_exc_other_or_three_plus,265530,10935.0,HI
2008,white,348746,3714.0,HI
2008,black_aa,30666,3778.0,HI
2008,am_indian_native,3090,703.0,HI
2008,asian,495454,9033.0,HI
2008,hawaiian_islander,116190,4249.0,HI
2008,other,18358,3575.0,HI
2008,two_or_more,275694,11060.0,HI
2008,two_or_more_inculding_other,10164,2269.0,HI
2008,total,1523816,,ID
2008,two_or_more_exc_other_or_three_plus,35061,2997.0,ID
2008,white,1412637,5006.0,ID
2008,black_aa,7958,1361.0,ID
2008,am_indian_native,16473,2274.0,ID
2008,asian,18509,1930.0,ID
2008,hawaiian_islander,1488,868.0,ID
2008,other,27714,4102.0,ID
2008,two_or_more,39037,3429.0,ID
2008,two_or_more_inculding_other,3976,1412.0,ID
2008,total,12901564,,IL
2008,two_or_more_exc_other_or_three_plus,167828,8406.0,IL
2008,white,9380332,28707.0,IL
2008,black_aa,1880617,12552.0,IL
2008,am_indian_native,24025,2967.0,IL
2008,asian,552245,5620.0,IL
2008,hawaiian_islander,2481,986.0,IL
2008,other,839621,29224.0,IL
2008,two_or_more,222243,11962.0,IL
2008,two_or_more_inculding_other,54415,6517.0,IL
2008,total,6376792,,IN
2008,two_or_more_exc_other_or_three_plus,107445,6351.0,IN
2008,white,5467562,9363.0,IN
2008,black_aa,547483,4725.0,IN
2008,am_indian_native,15677,1977.0,IN
2008,asian,84810,2512.0,IN
2008,hawaiian_islander,1482,898.0,IN
2008,other,135989,8562.0,IN
2008,two_or_more,123789,6973.0,IN
2008,two_or_more_inculding_other,16344,2704.0,IN
2008,total,3002557,,IA
2008,two_or_more_exc_other_or_three_plus,40497,3447.0,IA
2008,white,2783128,5425.0,IA
2008,black_aa,76221,3205.0,IA
2008,am_indian_native,9883,1912.0,IA
2008,asian,47281,2176.0,IA
2008,hawaiian_islander,1598,1048.0,IA
2008,other,39669,4877.0,IA
2008,two_or_more,44777,3753.0,IA
2008,two_or_more_inculding_other,4280,1060.0,IA
2008,total,2802134,,KS
2008,two_or_more_exc_other_or_three_plus,68560,4425.0,KS
2008,white,2416768,7426.0,KS
2008,black_aa,157596,4508.0,KS
2008,am_indian_native,20503,2490.0,KS
2008,asian,59999,2180.0,KS
2008,hawaiian_islander,1954,612.0,KS
2008,other,69533,7123.0,KS
2008,two_or_more,75781,4545.0,KS
2008,two_or_more_inculding_other,7221,1585.0,KS
2008,total,4269245,,KY
2008,two_or_more_exc_other_or_three_plus,56435,4697.0,KY
2008,white,3802285,4563.0,KY
2008,black_aa,316828,5036.0,KY
2008,am_indian_native,7530,1675.0,KY
2008,asian,43712,3358.0,KY
2008,hawaiian_islander,2722,1452.0,KY
2008,other,34446,4036.0,KY
