year,state,population,per_capita
2014,West Virginia,1847624.0,1.0895073889492666
2014,Wyoming,583334.0,1.29771280261394
2013,Alaska,736760.0,2.6412943156523156
2013,Alabama,4827660.0,0.9712780104646972
2013,Arkansas,2956780.0,1.2892403222424393
2013,Arizona,6616124.0,1.5964029694727608
2013,California,38347383.0,3.0915277843079934
2013,Colorado,5262556.0,1.8534719630536947
2013,Connecticut,3602470.0,1.2347084083975715
2013,,,
2013,Delaware,925114.0,1.0225766770365596
2013,Florida,19584927.0,2.4438181464756035
2013,Georgia,9981773.0,1.7001989526309604
2013,Hawaii,1408038.0,4.499168346308835
2013,Iowa,3089876.0,0.9980983055630711
2013,Idaho,1610187.0,1.10608270964801
2013,Illinois,12890403.0,1.0414724815042633
2013,Indiana,6567484.0,0.9282093416596067
2013,Kansas,2892900.0,0.9308997891389263
2013,Kentucky,4399121.0,1.19228364029996
2013,Louisiana,4626795.0,1.1295075748979586
2013,Massachusetts,6711138.0,2.8354356593471928
2013,Maryland,5932654.0,1.383023516962223
2013,Maine,1327975.0,2.2711270920009787
2013,Michigan,9899219.0,1.1644352953500674
2013,Minnesota,5416074.0,1.5165967082429082
2013,Missouri,6041142.0,1.4204268000983922
2013,Mississippi,2987721.0,0.804291967021017
2013,Montana,1011921.0,1.8558761009999791
2013,North Carolina,9849812.0,1.2353535275597138
2013,North Dakota,722908.0,2.862051602693566
2013,Nebraska,1867414.0,1.6841471682230078
2013,New Hampshire,1322622.0,1.094038962001237
2013,New Jersey,8913735.0,1.346461387959144
2013,New Mexico,2085161.0,1.3519339753620943
2013,Nevada,2786547.0,2.526065413574578
2013,New York,19712514.0,3.927961699862331
2013,Ohio,11567845.0,1.0654534185062126
2013,Oklahoma,3849840.0,1.1449826486295533
2013,Oregon,3919664.0,3.5263226643916417
2013,Pennsylvania,12778450.0,1.1805813694149134
2013,Rhode Island,1052784.0,1.314609644523473
2013,South Carolina,4765862.0,1.3730989273294107
2013,South Dakota,842513.0,1.298496284330331
2013,Tennessee,6490795.0,1.4679249614261427
2013,Texas,26479279.0,1.1184216911646274
2013,Utah,2899961.0,1.1300151967560943
2013,Virginia,8261689.0,0.9229347655182856
2013,Vermont,626044.0,2.322520461820575
2013,Washington,6963410.0,2.550474551979562
2013,Wisconsin,5736673.0,1.0640313645208643
2013,West Virginia,1852333.0,1.2092858033625704
2013,Wyoming,582341.0,1.6364982029429493
2012,Alaska,730825.0,2.617589710258954
2012,Alabama,4813946.0,1.0820644851437884
2012,Arkansas,2949208.0,1.42885818836786
2012,Arizona,6544211.0,1.7270225547434213
2012,California,38019006.0,3.1588937385685463
2012,Colorado,5186330.0,3.2331147458800342
2012,Connecticut,3597705.0,1.169912485876413
2012,,,
2012,Delaware,916868.0,1.0993948965390874
2012,Florida,19341327.0,2.8524413035362053
2012,Georgia,9911171.0,2.069987491891725
2012,Hawaii,1392772.0,4.4845818267455115
2012,Iowa,3074386.0,0.9523852892902842
2012,Idaho,1594673.0,1.2341088110226988
2012,Illinois,12878494.0,1.0982650611166183
2012,Indiana,6535665.0,0.9576684239476778
