state,state_name,year,total,individual,family,yparent,ypchild,non_ypfam,sh_ind,uns_ind,sh_fam,uns_fam,sh_yparent,uns_yparent,sh_ypchild,uns_ypchild,sh_non_ypfam,uns_non_ypfam
OK,Oklahoma ,2015,3777.0,2781.0,996.0,50.0,92.0,854.0,2111.0,670.0,888.0,108.0,48.0,2.0,91.0,1.0,749.0,105.0
OR,Oregon ,2015,13226.0,9461.0,3765.0,135.0,155.0,3475.0,4048.0,5413.0,1783.0,1982.0,88.0,47.0,101.0,54.0,1594.0,1881.0
PA,Pennsylvania ,2015,15421.0,8605.0,6816.0,573.0,792.0,5451.0,7276.0,1329.0,6717.0,99.0,573.0,0.0,792.0,0.0,5352.0,99.0
RI,Rhode Island ,2015,1111.0,706.0,405.0,35.0,44.0,326.0,673.0,33.0,402.0,3.0,35.0,0.0,44.0,0.0,323.0,3.0
SC,South Carolina ,2015,5354.0,3934.0,1420.0,63.0,95.0,1262.0,2465.0,1469.0,993.0,427.0,59.0,4.0,87.0,8.0,847.0,415.0
SD,South Dakota ,2015,1036.0,630.0,406.0,29.0,36.0,341.0,506.0,124.0,394.0,12.0,29.0,0.0,36.0,0.0,329.0,12.0
TN,Tennessee ,2015,9123.0,6516.0,2607.0,65.0,94.0,2448.0,4075.0,2441.0,1804.0,803.0,36.0,29.0,49.0,45.0,1719.0,729.0
TX,Texas ,2015,23678.0,16265.0,7413.0,161.0,252.0,7000.0,9234.0,7031.0,6958.0,455.0,158.0,3.0,244.0,8.0,6556.0,444.0
UT,Utah ,2015,3025.0,1809.0,1216.0,34.0,40.0,1142.0,1605.0,204.0,1194.0,22.0,34.0,0.0,40.0,0.0,1120.0,22.0
VA,Virginia ,2015,7001.0,4190.0,2811.0,129.0,187.0,2495.0,3434.0,756.0,2756.0,55.0,127.0,2.0,186.0,1.0,2443.0,52.0
VT,Vermont ,2015,1523.0,910.0,613.0,34.0,35.0,544.0,775.0,135.0,598.0,15.0,34.0,0.0,35.0,0.0,529.0,15.0
WA,Washington ,2015,19419.0,12526.0,6893.0,310.0,351.0,6232.0,6200.0,6326.0,6098.0,795.0,296.0,14.0,342.0,9.0,5460.0,772.0
WI,Wisconsin ,2015,6057.0,2992.0,3065.0,195.0,284.0,2586.0,2647.0,345.0,2968.0,97.0,184.0,11.0,270.0,14.0,2514.0,72.0
WV,West Virginia ,2015,1835.0,1414.0,421.0,23.0,29.0,369.0,1049.0,365.0,354.0,67.0,16.0,7.0,21.0,8.0,317.0,52.0
WY,Wyoming ,2015,798.0,500.0,298.0,12.0,20.0,266.0,292.0,208.0,215.0,83.0,11.0,1.0,19.0,1.0,185.0,81.0
AK,Alaska ,2014,1784.0,1209.0,575.0,,,,1109.0,100.0,530.0,45.0,,,,,,
AL,Alabama,2014,4561.0,3115.0,1446.0,,,,2373.0,742.0,1145.0,301.0,,,,,,
AR,Arkansas ,2014,2936.0,2303.0,633.0,,,,1070.0,1233.0,433.0,200.0,,,,,,
AZ,Arizona ,2014,10495.0,6194.0,4301.0,,,,3851.0,2343.0,4075.0,226.0,,,,,,
CA,California ,2014,113952.0,90765.0,23187.0,,,,24857.0,65908.0,17658.0,5529.0,,,,,,
CO,Colorado ,2014,10028.0,5573.0,4455.0,,,,4035.0,1538.0,4048.0,407.0,,,,,,
CT,Connecticut ,2014,4450.0,3069.0,1381.0,,,,2243.0,826.0,1288.0,93.0,,,,,,
DC,Washington DC,2014,7748.0,3953.0,3795.0,,,,3557.0,396.0,3795.0,0.0,,,,,,
