state,state_name,year,total,veteran,non_veteran,sh_veteran,uns_veteran
FL,Florida ,2014,41542.0,4552.0,36990.0,2424.0,2128.0
GA,Georgia ,2014,16521.0,1443.0,15078.0,647.0,796.0
HI,Hawaii ,2014,6918.0,593.0,6325.0,247.0,346.0
IA,Iowa ,2014,3122.0,202.0,2920.0,177.0,25.0
ID,Idaho ,2014,2104.0,215.0,1889.0,135.0,80.0
IL,Illinois ,2014,13107.0,1234.0,11873.0,913.0,321.0
IN,Indiana ,2014,5971.0,725.0,5246.0,687.0,38.0
KS*,Kansas*,2014,2783.0,393.0,2390.0,356.0,37.0
KY,Kentucky ,2014,5089.0,600.0,4489.0,558.0,42.0
LA,Louisiana ,2014,4606.0,437.0,4169.0,332.0,105.0
MA,Massachusetts ,2014,21237.0,1264.0,19973.0,1234.0,30.0
MD,Maryland ,2014,7856.0,654.0,7202.0,555.0,99.0
ME,Maine ,2014,2726.0,152.0,2574.0,138.0,14.0
MI,Michigan ,2014,12227.0,1122.0,11105.0,994.0,128.0
MN,Minnesota ,2014,8377.0,317.0,8060.0,263.0,54.0
MO,Missouri ,2014,7282.0,652.0,6630.0,563.0,89.0
MS,Mississippi ,2014,2226.0,279.0,1947.0,221.0,58.0
MT,Montana ,2014,1745.0,256.0,1489.0,94.0,162.0
NC,North Carolina ,2014,11491.0,1164.0,10327.0,982.0,182.0
ND,North Dakota ,2014,1258.0,151.0,1107.0,117.0,34.0
NE,Nebraska ,2014,3026.0,241.0,2785.0,224.0,17.0
NH,New Hampshire ,2014,1376.0,171.0,1205.0,162.0,9.0
NJ,New Jersey ,2014,11671.0,630.0,11041.0,554.0,76.0
NM,New Mexico ,2014,2746.0,318.0,2428.0,258.0,60.0
NV,Nevada ,2014,8582.0,1036.0,7546.0,546.0,490.0
NY,New York ,2014,80590.0,2542.0,78048.0,2085.0,457.0
OH,Ohio ,2014,11823.0,1236.0,10587.0,1102.0,134.0
OK,Oklahoma ,2014,4191.0,408.0,3783.0,273.0,135.0
OR,Oregon ,2014,12164.0,1292.0,10872.0,702.0,590.0
PA,Pennsylvania ,2014,15333.0,1411.0,13922.0,1336.0,75.0
RI,Rhode Island ,2014,1190.0,108.0,1082.0,108.0,0.0
SC,South Carolina ,2014,5057.0,703.0,4354.0,399.0,304.0
SD,South Dakota ,2014,885.0,132.0,753.0,128.0,4.0
TN,Tennessee ,2014,9415.0,1142.0,8273.0,920.0,222.0
TX,Texas ,2014,28495.0,2718.0,25777.0,1576.0,1142.0
UT,Utah ,2014,3081.0,317.0,2764.0,293.0,24.0
VA,Virginia ,2014,7020.0,620.0,6400.0,535.0,85.0
VT,Vermont ,2014,1559.0,120.0,1439.0,111.0,9.0
WA,Washington ,2014,18442.0,1433.0,17009.0,1089.0,344.0
WI,Wisconsin ,2014,6055.0,520.0,5535.0,496.0,24.0
WV,West Virginia ,2014,2013.0,333.0,1680.0,303.0,30.0
WY,Wyoming ,2014,757.0,116.0,641.0,95.0,21.0
AK,Alaska ,2013,1946.0,210.0,1736.0,188.0,22.0
AL,Alabama,2013,4689.0,511.0,4178.0,363.0,148.0
AR,Arkansas ,2013,3812.0,462.0,3350.0,326.0,136.0
AZ,Arizona ,2013,10562.0,1222.0,9340.0,901.0,321.0
CA,California ,2013,118552.0,12895.0,105657.0,4886.0,8009.0
CO,Colorado ,2013,9754.0,685.0,9069.0,452.0,233.0
CT,Connecticut ,2013,4448.0,341.0,4107.0,267.0,74.0
DC,Washington DC,2013,6865.0,499.0,6366.0,435.0,64.0
DE,Delaware ,2013,946.0,89.0,857.0,86.0,3.0
FL,Florida ,2013,47862.0,5505.0,42357.0,2328.0,3177.0
GA,Georgia ,2013,16971.0,1805.0,15166.0,900.0,905.0
HI,Hawaii ,2013,6335.0,558.0,5777.0,234.0,324.0
IA,Iowa ,2013,3084.0,229.0,2855.0,220.0,9.0
ID,Idaho ,2013,1781.0,208.0,1573.0,162.0,46.0
IL,Illinois ,2013,13425.0,1267.0,12158.0,882.0,385.0
IN,Indiana ,2013,6096.0,743.0,5353.0,666.0,77.0
KS,Kansas ,2013,2693.0,414.0,2279.0,384.0,30.0
KY,Kentucky ,2013,5245.0,607.0,4638.0,510.0,97.0
LA,Louisiana ,2013,5226.0,575.0,4651.0,383.0,192.0
MA,Massachusetts ,2013,19029.0,1253.0,17776.0,1204.0,49.0
MD,Maryland ,2013,8205.0,673.0,7532.0,563.0,110.0
ME,Maine ,2013,3016.0,164.0,2852.0,150.0,14.0
MI,Michigan ,2013,11527.0,1100.0,10427.0,945.0,155.0
MN,Minnesota ,2013,8214.0,349.0,7865.0,286.0,63.0
MO,Missouri ,2013,8581.0,843.0,7738.0,667.0,176.0
MS,Mississippi ,2013,2403.0,210.0,2193.0,129.0,81.0
MT,Montana ,2013,1878.0,309.0,1569.0,118.0,191.0
NC,North Carolina ,2013,12168.0,1123.0,11045.0,934.0,189.0
ND,North Dakota ,2013,2069.0,241.0,1828.0,60.0,181.0
NE,Nebraska ,2013,3145.0,183.0,2962.0,161.0,22.0
NH,New Hampshire ,2013,1447.0,125.0,1322.0,112.0,13.0
NJ,New Jersey ,2013,12002.0,540.0,11462.0,420.0,120.0
NM,New Mexico ,2013,2819.0,243.0,2576.0,183.0,60.0
NV,Nevada ,2013,7039.0,790.0,6249.0,477.0,313.0
NY,New York ,2013,77430.0,4659.0,72771.0,4201.0,458.0
OH,Ohio ,2013,12325.0,1212.0,11113.0,1050.0,162.0
OK,Oklahoma ,2013,4408.0,437.0,3971.0,338.0,99.0
OR,Oregon ,2013,13822.0,1494.0,12328.0,709.0,785.0
PA,Pennsylvania ,2013,15086.0,1462.0,13624.0,1290.0,172.0
RI,Rhode Island ,2013,1384.0,97.0,1287.0,95.0,2.0
SC,South Carolina ,2013,6544.0,636.0,5908.0,345.0,291.0
SD,South Dakota ,2013,1094.0,125.0,969.0,106.0,19.0
TN,Tennessee ,2013,9528.0,991.0,8537.0,728.0,263.0
TX,Texas ,2013,29615.0,3878.0,25737.0,2007.0,1871.0
UT,Utah ,2013,3277.0,327.0,2950.0,290.0,37.0
VA,Virginia ,2013,7625.0,719.0,6906.0,625.0,94.0
VT,Vermont ,2013,1454.0,128.0,1326.0,111.0,17.0
WA,Washington ,2013,17760.0,1318.0,16442.0,1058.0,260.0
WI,Wisconsin ,2013,6104.0,552.0,5552.0,528.0,24.0
WV,West Virginia ,2013,2240.0,329.0,1911.0,292.0,37.0
WY,Wyoming ,2013,953.0,137.0,816.0,110.0,27.0
AK,Alaska ,2012,1913.0,256.0,1657.0,227.0,29.0
AL,Alabama,2012,5209.0,526.0,4683.0,377.0,149.0
AR,Arkansas ,2012,4214.0,362.0,3852.0,205.0,157.0
AZ,Arizona ,2012,11302.0,1478.0,9824.0,1007.0,471.0
CA,California ,2012,120098.0,14611.0,105487.0,4512.0,10099.0
CO,Colorado ,2012,16768.0,1512.0,15256.0,800.0,712.0
CT,Connecticut ,2012,4209.0,332.0,3877.0,285.0,47.0
DC,Washington DC,2012,6954.0,531.0,6423.0,466.0,65.0
DE,Delaware ,2012,1008.0,66.0,942.0,64.0,2.0
FL,Florida ,2012,55170.0,5331.0,49839.0,2201.0,3130.0
GA,Georgia ,2012,20516.0,2297.0,18219.0,1094.0,1203.0
HI,Hawaii ,2012,6246.0,507.0,5739.0,230.0,277.0
IA,Iowa ,2012,2928.0,217.0,2711.0,205.0,12.0
ID,Idaho ,2012,1968.0,260.0,1708.0,184.0,76.0
IL,Illinois ,2012,14144.0,1147.0,12997.0,813.0,334.0
IN,Indiana ,2012,6259.0,687.0,5572.0,547.0,140.0
KS,Kansas ,2012,2684.0,373.0,2311.0,329.0,44.0
KY,Kentucky ,2012,5230.0,440.0,4790.0,369.0,71.0
LA,Louisiana ,2012,7772.0,899.0,6873.0,450.0,449.0
MA,Massachusetts ,2012,17501.0,1181.0,16320.0,1126.0,55.0
MD,Maryland ,2012,9454.0,617.0,8837.0,513.0,104.0
ME,Maine ,2012,2393.0,116.0,2277.0,116.0,0.0
MI,Michigan ,2012,12592.0,1017.0,11575.0,835.0,182.0
MN,Minnesota ,2012,7744.0,309.0,7435.0,243.0,66.0
MO,Missouri ,2012,10237.0,899.0,9338.0,714.0,185.0
MS,Mississippi ,2012,2413.0,244.0,2169.0,71.0,173.0
MT,Montana ,2012,1833.0,323.0,1510.0,147.0,176.0
NC,North Carolina ,2012,13524.0,1413.0,12111.0,1091.0,322.0
ND,North Dakota ,2012,688.0,160.0,528.0,144.0,16.0
NE,Nebraska ,2012,3789.0,249.0,3540.0,213.0,36.0
NH,New Hampshire ,2012,1496.0,127.0,1369.0,116.0,11.0
NJ,New Jersey ,2012,13025.0,592.0,12433.0,465.0,127.0
NM,New Mexico ,2012,3245.0,345.0,2900.0,202.0,143.0
NV,Nevada ,2012,8497.0,1229.0,7268.0,691.0,538.0
NY,New York ,2012,69566.0,4961.0,64605.0,4370.0,591.0
OH,Ohio ,2012,13977.0,1244.0,12733.0,1034.0,210.0
OK,Oklahoma ,2012,5032.0,404.0,4628.0,299.0,105.0
OR,Oregon ,2012,15828.0,1356.0,14472.0,558.0,798.0
PA,Pennsylvania ,2012,14736.0,1456.0,13280.0,1321.0,135.0
RI,Rhode Island ,2012,1277.0,96.0,1181.0,96.0,0.0
SC,South Carolina ,2012,4915.0,543.0,4372.0,320.0,223.0
SD,South Dakota ,2012,859.0,124.0,735.0,114.0,10.0
TN,Tennessee ,2012,9426.0,1285.0,8141.0,973.0,312.0
TX,Texas ,2012,34052.0,4364.0,29688.0,1884.0,2480.0
UT,Utah ,2012,3527.0,330.0,3197.0,297.0,33.0
VA,Virginia ,2012,8424.0,881.0,7543.0,727.0,154.0
VT,Vermont ,2012,1160.0,109.0,1051.0,93.0,16.0
WA,Washington ,2012,20504.0,1475.0,19029.0,1097.0,378.0
WI,Wisconsin ,2012,6027.0,539.0,5488.0,525.0,14.0
WV,West Virginia ,2012,2410.0,268.0,2142.0,219.0,49.0
WY,Wyoming ,2012,1813.0,311.0,1502.0,128.0,183.0
AK,Alaska ,2011,2128.0,288.0,1840.0,236.0,52.0
AL,Alabama,2011,5558.0,659.0,4899.0,387.0,272.0
AR,Arkansas ,2011,3424.0,411.0,3013.0,268.0,143.0
AZ,Arizona ,2011,10504.0,1528.0,8976.0,1018.0,510.0
CA,California ,2011,125128.0,16783.0,108345.0,6689.0,10094.0
CO,Colorado ,2011,15116.0,2074.0,13042.0,1381.0,693.0
CT,Connecticut ,2011,4456.0,443.0,4013.0,396.0,47.0
DC,Washington DC,2011,6546.0,515.0,6031.0,490.0,25.0
DE,Delaware ,2011,1035.0,55.0,980.0,53.0,2.0
FL,Florida ,2011,56687.0,5644.0,51043.0,2276.0,3368.0
GA,Georgia ,2011,20975.0,2243.0,18732.0,1025.0,1218.0
HI,Hawaii ,2011,6188.0,505.0,5683.0,210.0,295.0
IA,Iowa ,2011,3134.0,267.0,2867.0,255.0,12.0
ID,Idaho ,2011,2199.0,250.0,1949.0,169.0,81.0
IL,Illinois ,2011,14009.0,1081.0,12928.0,765.0,316.0
IN,Indiana ,2011,6196.0,714.0,5482.0,638.0,76.0
KS,Kansas ,2011,2511.0,384.0,2127.0,342.0,42.0
KY,Kentucky ,2011,6034.0,636.0,5398.0,579.0,57.0
LA,Louisiana ,2011,9291.0,950.0,8341.0,443.0,507.0
MA,Massachusetts ,2011,16664.0,1268.0,15396.0,1210.0,58.0
MD,Maryland ,2011,10208.0,696.0,9512.0,577.0,119.0
ME,Maine ,2011,2447.0,127.0,2320.0,121.0,6.0
MI,Michigan ,2011,13185.0,959.0,12226.0,755.0,204.0
MN,Minnesota ,2011,7495.0,449.0,7046.0,371.0,78.0
MO,Missouri ,2011,8989.0,852.0,8137.0,627.0,225.0
MS,Mississippi ,2011,2306.0,205.0,2101.0,114.0,91.0
MT,Montana ,2011,1768.0,251.0,1517.0,135.0,116.0
NC,North Carolina ,2011,12896.0,1248.0,11648.0,941.0,307.0
ND,North Dakota ,2011,603.0,124.0,479.0,121.0,3.0
NE,Nebraska ,2011,3548.0,310.0,3238.0,253.0,57.0
NH,New Hampshire ,2011,1469.0,126.0,1343.0,118.0,8.0
NJ,New Jersey ,2011,14137.0,811.0,13326.0,668.0,143.0
NM,New Mexico ,2011,3601.0,364.0,3237.0,221.0,143.0
NV,Nevada ,2011,9150.0,1240.0,7910.0,692.0,548.0
NY,New York ,2011,63445.0,5765.0,57680.0,5246.0,519.0
OH,Ohio ,2011,13030.0,1279.0,11751.0,1083.0,196.0
OK,Oklahoma ,2011,4625.0,356.0,4269.0,301.0,55.0
OR,Oregon ,2011,17254.0,1474.0,15780.0,655.0,819.0
PA,Pennsylvania ,2011,15096.0,1392.0,13704.0,1262.0,130.0
RI,Rhode Island ,2011,1070.0,123.0,947.0,121.0,2.0
SC,South Carolina ,2011,5093.0,612.0,4481.0,389.0,223.0
SD,South Dakota ,2011,826.0,109.0,717.0,99.0,10.0
TN,Tennessee ,2011,9113.0,965.0,8148.0,732.0,233.0
TX,Texas ,2011,36911.0,4891.0,32020.0,2365.0,2526.0
UT,Utah ,2011,3130.0,345.0,2785.0,310.0,35.0
VA,Virginia ,2011,8816.0,931.0,7885.0,768.0,163.0
VT,Vermont ,2011,1144.0,81.0,1063.0,75.0,6.0
WA,Washington ,2011,20439.0,1478.0,18961.0,1167.0,311.0
WI,Wisconsin ,2011,5785.0,607.0,5178.0,584.0,23.0
WV,West Virginia ,2011,2211.0,302.0,1909.0,236.0,66.0
WY,Wyoming ,2011,1038.0,83.0,955.0,39.0,44.0
