location,bedroom_size,month,year,price
Alaska,Studio,07,2014,853.0
Alaska,Studio,07,2015,856.0
Alaska,Studio,07,2016,834.0
Alaska,Studio,07,2017,822.0
Alaska,Studio,08,2014,854.0
Alaska,Studio,08,2015,853.0
Alaska,Studio,08,2016,823.0
Alaska,Studio,08,2017,822.0
Alaska,Studio,09,2014,856.0
Alaska,Studio,09,2015,851.0
Alaska,Studio,09,2016,818.0
Alaska,Studio,09,2017,819.0
Alaska,Studio,10,2014,856.0
Alaska,Studio,10,2015,850.0
Alaska,Studio,10,2016,818.0
Alaska,Studio,10,2017,817.0
Alaska,Studio,11,2014,856.0
Alaska,Studio,11,2015,849.0
Alaska,Studio,11,2016,819.0
Alaska,Studio,11,2017,815.0
Alaska,Studio,12,2014,855.0
Alaska,Studio,12,2015,850.0
Alaska,Studio,12,2016,819.0
Alaska,Studio,12,2017,815.0
Alaska,1br,01,2014,961.0
Alaska,1br,01,2015,974.0
Alaska,1br,01,2016,970.0
Alaska,1br,01,2017,938.0
Alaska,1br,02,2014,967.0
Alaska,1br,02,2015,973.0
Alaska,1br,02,2016,967.0
Alaska,1br,02,2017,939.0
Alaska,1br,03,2014,969.0
Alaska,1br,03,2015,972.0
Alaska,1br,03,2016,963.0
Alaska,1br,03,2017,941.0
Alaska,1br,04,2014,974.0
Alaska,1br,04,2015,974.0
Alaska,1br,04,2016,964.0
Alaska,1br,04,2017,940.0
Alaska,1br,05,2014,975.0
Alaska,1br,05,2015,977.0
Alaska,1br,05,2016,966.0
Alaska,1br,05,2017,938.0
Alaska,1br,06,2014,975.0
Alaska,1br,06,2015,977.0
Alaska,1br,06,2016,962.0
Alaska,1br,06,2017,938.0
Alaska,1br,07,2014,974.0
Alaska,1br,07,2015,978.0
Alaska,1br,07,2016,953.0
Alaska,1br,07,2017,940.0
Alaska,1br,08,2014,976.0
Alaska,1br,08,2015,975.0
Alaska,1br,08,2016,941.0
Alaska,1br,08,2017,940.0
Alaska,1br,09,2014,978.0
Alaska,1br,09,2015,973.0
Alaska,1br,09,2016,934.0
Alaska,1br,09,2017,936.0
Alaska,1br,10,2014,978.0
Alaska,1br,10,2015,971.0
Alaska,1br,10,2016,934.0
Alaska,1br,10,2017,933.0
Alaska,1br,11,2014,978.0
Alaska,1br,11,2015,970.0
Alaska,1br,11,2016,935.0
Alaska,1br,11,2017,931.0
Alaska,1br,12,2014,977.0
Alaska,1br,12,2015,971.0
Alaska,1br,12,2016,936.0
Alaska,1br,12,2017,932.0
Alaska,2br,01,2014,1230.0
Alaska,2br,01,2015,1245.0
Alaska,2br,01,2016,1241.0
Alaska,2br,01,2017,1199.0
Alaska,2br,02,2014,1237.0
Alaska,2br,02,2015,1244.0
Alaska,2br,02,2016,1237.0
Alaska,2br,02,2017,1201.0
Alaska,2br,03,2014,1239.0
Alaska,2br,03,2015,1243.0
Alaska,2br,03,2016,1231.0
Alaska,2br,03,2017,1204.0
Alaska,2br,04,2014,1245.0
Alaska,2br,04,2015,1246.0
Alaska,2br,04,2016,1233.0
Alaska,2br,04,2017,1202.0
Alaska,2br,05,2014,1247.0
Alaska,2br,05,2015,1250.0
Alaska,2br,05,2016,1235.0
Alaska,2br,05,2017,1200.0
Alaska,2br,06,2014,1247.0
Alaska,2br,06,2015,1249.0
Alaska,2br,06,2016,1231.0
Alaska,2br,06,2017,1200.0
Alaska,2br,07,2014,1246.0
Alaska,2br,07,2015,1251.0
Alaska,2br,07,2016,1219.0
Alaska,2br,07,2017,1202.0
Alaska,2br,08,2014,1249.0
Alaska,2br,08,2015,1246.0
Alaska,2br,08,2016,1203.0
Alaska,2br,08,2017,1202.0
Alaska,2br,09,2014,1251.0
Alaska,2br,09,2015,1244.0
Alaska,2br,09,2016,1195.0
Alaska,2br,09,2017,1197.0
Alaska,2br,10,2014,1250.0
Alaska,2br,10,2015,1242.0
Alaska,2br,10,2016,1195.0
Alaska,2br,10,2017,1193.0
Alaska,2br,11,2014,1251.0
Alaska,2br,11,2015,1241.0
Alaska,2br,11,2016,1196.0
Alaska,2br,11,2017,1191.0
Alaska,2br,12,2014,1250.0
Alaska,2br,12,2015,1242.0
Alaska,2br,12,2016,1197.0
Alaska,2br,12,2017,1192.0
Alaska,3br,01,2014,1738.0
Alaska,3br,01,2015,1760.0
Alaska,3br,01,2016,1754.0
Alaska,3br,01,2017,1695.0
Alaska,3br,02,2014,1748.0
Alaska,3br,02,2015,1758.0
Alaska,3br,02,2016,1748.0
Alaska,3br,02,2017,1698.0
Alaska,3br,03,2014,1751.0
Alaska,3br,03,2015,1757.0
Alaska,3br,03,2016,1740.0
Alaska,3br,03,2017,1701.0
Alaska,3br,04,2014,1760.0
Alaska,3br,04,2015,1761.0
Alaska,3br,04,2016,1742.0
Alaska,3br,04,2017,1698.0
Alaska,3br,05,2014,1762.0
Alaska,3br,05,2015,1766.0
Alaska,3br,05,2016,1746.0
Alaska,3br,05,2017,1696.0
Alaska,3br,06,2014,1763.0
Alaska,3br,06,2015,1766.0
Alaska,3br,06,2016,1740.0
Alaska,3br,06,2017,1695.0
Alaska,3br,07,2014,1761.0
Alaska,3br,07,2015,1768.0
Alaska,3br,07,2016,1722.0
Alaska,3br,07,2017,1698.0
Alaska,3br,08,2014,1765.0
Alaska,3br,08,2015,1762.0
Alaska,3br,08,2016,1701.0
Alaska,3br,08,2017,1699.0
Alaska,3br,09,2014,1767.0
Alaska,3br,09,2015,1759.0
Alaska,3br,09,2016,1689.0
Alaska,3br,09,2017,1692.0
Alaska,3br,10,2014,1767.0
Alaska,3br,10,2015,1755.0
Alaska,3br,10,2016,1689.0
Alaska,3br,10,2017,1687.0
Alaska,3br,11,2014,1768.0
Alaska,3br,11,2015,1754.0
Alaska,3br,11,2016,1691.0
Alaska,3br,11,2017,1684.0
Alaska,3br,12,2014,1766.0
Alaska,3br,12,2015,1756.0
Alaska,3br,12,2016,1692.0
Alaska,3br,12,2017,1684.0
Alaska,4br,01,2014,2086.0
Alaska,4br,01,2015,2113.0
Alaska,4br,01,2016,2105.0
Alaska,4br,01,2017,2035.0
Alaska,4br,02,2014,2098.0
Alaska,4br,02,2015,2111.0
Alaska,4br,02,2016,2099.0
Alaska,4br,02,2017,2038.0
Alaska,4br,03,2014,2102.0
Alaska,4br,03,2015,2110.0
Alaska,4br,03,2016,2089.0
Alaska,4br,03,2017,2042.0
Alaska,4br,04,2014,2113.0
Alaska,4br,04,2015,2114.0
Alaska,4br,04,2016,2091.0
Alaska,4br,04,2017,2039.0
Alaska,4br,05,2014,2116.0
Alaska,4br,05,2015,2120.0
Alaska,4br,05,2016,2096.0
Alaska,4br,05,2017,2036.0
Alaska,4br,06,2014,2117.0
Alaska,4br,06,2015,2120.0
Alaska,4br,06,2016,2089.0
Alaska,4br,06,2017,2035.0
Alaska,4br,07,2014,2115.0
Alaska,4br,07,2015,2123.0
Alaska,4br,07,2016,2068.0
Alaska,4br,07,2017,2039.0
Alaska,4br,08,2014,2119.0
Alaska,4br,08,2015,2115.0
Alaska,4br,08,2016,2042.0
Alaska,4br,08,2017,2039.0
Alaska,4br,09,2014,2122.0
Alaska,4br,09,2015,2111.0
Alaska,4br,09,2016,2028.0
Alaska,4br,09,2017,2031.0
Alaska,4br,10,2014,2122.0
Alaska,4br,10,2015,2107.0
Alaska,4br,10,2016,2027.0
Alaska,4br,10,2017,2025.0
Alaska,4br,11,2014,2122.0
Alaska,4br,11,2015,2106.0
Alaska,4br,11,2016,2030.0
Alaska,4br,11,2017,2021.0
Alaska,4br,12,2014,2121.0
Alaska,4br,12,2015,2108.0
Alaska,4br,12,2016,2032.0
Alaska,4br,12,2017,2022.0
Arizona,Studio,01,2014,600.0
Arizona,Studio,01,2015,619.0
Arizona,Studio,01,2016,646.0
Arizona,Studio,01,2017,666.0
Arizona,Studio,02,2014,603.0
Arizona,Studio,02,2015,621.0
Arizona,Studio,02,2016,646.0
Arizona,Studio,02,2017,669.0
Arizona,Studio,03,2014,605.0
Arizona,Studio,03,2015,623.0
Arizona,Studio,03,2016,647.0
Arizona,Studio,03,2017,674.0
Arizona,Studio,04,2014,606.0
Arizona,Studio,04,2015,626.0
Arizona,Studio,04,2016,652.0
Arizona,Studio,04,2017,679.0
Arizona,Studio,05,2014,608.0
Arizona,Studio,05,2015,630.0
Arizona,Studio,05,2016,654.0
Arizona,Studio,05,2017,682.0
Arizona,Studio,06,2014,610.0
Arizona,Studio,06,2015,632.0
Arizona,Studio,06,2016,655.0
Arizona,Studio,06,2017,685.0
Arizona,Studio,07,2014,612.0
Arizona,Studio,07,2015,637.0
Arizona,Studio,07,2016,656.0
Arizona,Studio,07,2017,687.0
Arizona,Studio,08,2014,613.0
Arizona,Studio,08,2015,639.0
Arizona,Studio,08,2016,658.0
Arizona,Studio,08,2017,688.0
Arizona,Studio,09,2014,614.0
Arizona,Studio,09,2015,640.0
Arizona,Studio,09,2016,660.0
Arizona,Studio,09,2017,690.0
