year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state,population,per_capita,individual_rent,family_rent
2007,6247.0,3336.0,2911.0,,,,,,,,Missouri,5905750.0,1.057782669432333,,
2007,1377.0,1115.0,262.0,,,,,,,,Mississippi,2920312.0,0.4715249603467026,,
2007,1150.0,633.0,517.0,,,,,,,,Montana,957123.0,1.2015174643175432,,
2007,11802.0,8391.0,3411.0,,,,,,,,North Carolina,9047856.0,1.30439741746553,,
2007,636.0,403.0,233.0,,,,,,,,North Dakota,637534.0,0.9975938538179924,,
2007,3531.0,2172.0,1359.0,,,,,,,,Nebraska,1768745.0,1.99633073167698,,
2007,2248.0,1255.0,993.0,,,,,,,,New Hampshire,1316496.0,1.7075631069141113,,
2007,17314.0,8972.0,8342.0,,,,,,,,New Jersey,8630810.0,2.006068955289249,,
2007,3015.0,1861.0,1154.0,,,,,,,,New Mexico,1966357.0,1.5332922760210888,,
2007,8642.0,6477.0,2165.0,,,,,,,,Nevada,2564816.0,3.3694424863226056,,
2007,62601.0,28056.0,34545.0,,,,,,,,New York,19419540.0,3.223608798148669,,
2007,11264.0,6870.0,4394.0,,,,,,,,Ohio,11518989.0,0.9778635954943616,,
2007,4221.0,2982.0,1239.0,,,,,,,,Oklahoma,3608759.0,1.1696541664322833,,
2007,17590.0,9871.0,7719.0,,,,,,,,Oregon,3730833.0,4.71476477237121,,
2007,16220.0,8229.0,7991.0,,,,,,,,Pennsylvania,12517701.0,1.2957650929671511,,
2007,1372.0,643.0,729.0,,,,,,,,Rhode Island,1059706.0,1.2946987183237617,,
2007,5660.0,3771.0,1889.0,,,,,,,,South Carolina,4417059.0,1.2813956073486907,,
2007,579.0,268.0,311.0,,,,,,,,South Dakota,795521.0,0.7278249097132571,,
2007,11210.0,8462.0,2748.0,,,,,,,,Tennessee,6172788.0,1.8160351529973169,,
2007,39788.0,26306.0,13482.0,,,,,,,,Texas,23824518.0,1.6700442795946595,,
2007,3011.0,1945.0,1066.0,,,,,,,,Utah,2662908.0,1.1307187480754124,,
2007,9746.0,5523.0,4223.0,,,,,,,,Virginia,7705466.0,1.2648164303106393,,
2007,1035.0,599.0,436.0,,,,,,,,Vermont,620438.0,1.6681763528346103,,
2007,23379.0,13289.0,10090.0,,,,,,,,Washington,6464167.0,3.616707303508712,,
2007,5648.0,2403.0,3245.0,,,,,,,,Wisconsin,5601508.0,1.0082999078105397,,
2007,2409.0,1915.0,494.0,,,,,,,,West Virginia,1812295.0,1.3292537914633102,,
2007,537.0,331.0,206.0,,,,,,,,Wyoming,523226.0,1.0263251443926718,,
