year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state_name
2016,1072.0,548.0,524.0,77.0,9.0,68.0,19.0,1.0,18.0,25.0,South Dakota
2016,8779.0,6652.0,2127.0,416.0,26.0,390.0,107.0,0.0,107.0,147.0,Tennessee
2016,23122.0,15959.0,7163.0,1309.0,187.0,1122.0,309.0,5.0,304.0,465.0,Texas
2016,2807.0,1828.0,979.0,150.0,18.0,132.0,17.0,0.0,17.0,30.0,Utah
2016,6268.0,3959.0,2309.0,322.0,12.0,310.0,102.0,1.0,101.0,146.0,Virginia
2016,1117.0,655.0,462.0,71.0,1.0,70.0,46.0,0.0,46.0,49.0,Vermont
2016,20827.0,13900.0,6927.0,1307.0,92.0,1215.0,295.0,6.0,289.0,455.0,Washington
2016,5685.0,2886.0,2799.0,337.0,25.0,312.0,188.0,0.0,188.0,267.0,Wisconsin
2016,1387.0,1039.0,348.0,95.0,6.0,89.0,19.0,0.0,19.0,35.0,West Virginia
2016,857.0,517.0,340.0,31.0,3.0,28.0,15.0,0.0,15.0,17.0,Wyoming
2015,1956.0,1342.0,614.0,155.0,24.0,131.0,18.0,0.0,18.0,21.0,Alaska
2015,3970.0,2868.0,1102.0,228.0,32.0,196.0,25.0,5.0,20.0,35.0,Alabama
2015,2560.0,1833.0,727.0,188.0,0.0,188.0,22.0,0.0,22.0,20.0,Arkansas
2015,9896.0,6548.0,3348.0,621.0,83.0,538.0,166.0,6.0,160.0,194.0,Arizona
2015,115738.0,93156.0,22582.0,10416.0,892.0,9524.0,854.0,11.0,843.0,1160.0,California
2015,9953.0,5729.0,4224.0,566.0,82.0,484.0,171.0,1.0,170.0,226.0,Colorado
2015,4047.0,2719.0,1328.0,124.0,11.0,113.0,43.0,0.0,43.0,65.0,Connecticut
2015,7298.0,3821.0,3477.0,200.0,7.0,193.0,366.0,0.0,366.0,544.0,Washington DC
2015,953.0,602.0,351.0,57.0,3.0,54.0,21.0,0.0,21.0,41.0,Delaware
2015,35900.0,26325.0,9575.0,2371.0,593.0,1778.0,315.0,10.0,305.0,449.0,Florida
2015,13790.0,9702.0,4088.0,575.0,15.0,560.0,51.0,0.0,51.0,98.0,Georgia
2015,7620.0,4307.0,3313.0,303.0,24.0,279.0,95.0,1.0,94.0,93.0,Hawaii
2015,3081.0,1501.0,1580.0,179.0,7.0,172.0,124.0,4.0,120.0,139.0,Iowa
2015,1966.0,1172.0,794.0,129.0,4.0,125.0,22.0,0.0,22.0,31.0,Idaho
2015,13177.0,8152.0,5025.0,832.0,38.0,794.0,351.0,2.0,349.0,522.0,Illinois
2015,5863.0,3914.0,1949.0,373.0,36.0,337.0,103.0,3.0,100.0,149.0,Indiana
2015,2588.0,1466.0,1122.0,89.0,3.0,86.0,28.0,0.0,28.0,31.0,Kansas
2015,4538.0,3151.0,1387.0,248.0,27.0,221.0,75.0,0.0,75.0,99.0,Kentucky
2015,4081.0,3217.0,864.0,389.0,30.0,359.0,61.0,0.0,61.0,105.0,Louisiana
2015,21135.0,6378.0,14757.0,415.0,5.0,410.0,839.0,10.0,829.0,1070.0,Massachusetts
2015,8390.0,5383.0,3007.0,481.0,54.0,427.0,138.0,0.0,138.0,217.0,Maryland
2015,2372.0,1219.0,1153.0,146.0,18.0,128.0,56.0,0.0,56.0,67.0,Maine
2015,10516.0,6546.0,3970.0,975.0,160.0,815.0,262.0,0.0,262.0,400.0,Michigan
2015,7546.0,3622.0,3924.0,733.0,131.0,602.0,276.0,13.0,263.0,373.0,Minnesota
2015,6482.0,3434.0,3048.0,474.0,101.0,373.0,109.0,7.0,102.0,173.0,Missouri
2015,1983.0,1475.0,508.0,93.0,25.0,68.0,9.0,0.0,9.0,21.0,Mississippi
2015,1709.0,1127.0,582.0,171.0,13.0,158.0,41.0,9.0,32.0,55.0,Montana
2015,10685.0,7156.0,3529.0,631.0,79.0,552.0,115.0,2.0,113.0,159.0,North Carolina
2015,1305.0,864.0,441.0,142.0,18.0,124.0,11.0,0.0,11.0,17.0,North Dakota
2015,2744.0,1720.0,1024.0,238.0,29.0,209.0,47.0,0.0,47.0,69.0,Nebraska
2015,1445.0,778.0,667.0,91.0,6.0,85.0,35.0,0.0,35.0,40.0,New Hampshire
2015,10098.0,6189.0,3909.0,643.0,47.0,596.0,369.0,0.0,369.0,492.0,New Jersey
2015,2629.0,1666.0,963.0,193.0,54.0,139.0,33.0,0.0,33.0,52.0,New Mexico
2015,8743.0,7858.0,885.0,2310.0,825.0,1485.0,48.0,5.0,43.0,74.0,Nevada
2015,88250.0,36135.0,52115.0,2626.0,133.0,2493.0,2470.0,10.0,2460.0,3013.0,New York
2015,11182.0,7565.0,3617.0,770.0,49.0,721.0,237.0,3.0,234.0,355.0,Ohio
2015,3777.0,2781.0,996.0,460.0,84.0,376.0,50.0,0.0,50.0,92.0,Oklahoma
2015,13226.0,9461.0,3765.0,1350.0,388.0,962.0,135.0,0.0,135.0,155.0,Oregon
2015,15421.0,8605.0,6816.0,871.0,37.0,834.0,573.0,4.0,569.0,792.0,Pennsylvania
2015,1111.0,706.0,405.0,47.0,4.0,43.0,35.0,0.0,35.0,44.0,Rhode Island
2015,5354.0,3934.0,1420.0,195.0,13.0,182.0,63.0,1.0,62.0,95.0,South Carolina
2015,1036.0,630.0,406.0,108.0,8.0,100.0,29.0,0.0,29.0,36.0,South Dakota
2015,9123.0,6516.0,2607.0,673.0,14.0,659.0,65.0,0.0,65.0,94.0,Tennessee
2015,23678.0,16265.0,7413.0,1416.0,218.0,1198.0,161.0,3.0,158.0,252.0,Texas
2015,3025.0,1809.0,1216.0,132.0,11.0,121.0,34.0,0.0,34.0,40.0,Utah
2015,7001.0,4190.0,2811.0,330.0,12.0,318.0,129.0,0.0,129.0,187.0,Virginia
2015,1523.0,910.0,613.0,101.0,4.0,97.0,34.0,1.0,33.0,35.0,Vermont
2015,19419.0,12526.0,6893.0,1341.0,154.0,1187.0,310.0,12.0,298.0,351.0,Washington
2015,6057.0,2992.0,3065.0,334.0,33.0,301.0,195.0,0.0,195.0,284.0,Wisconsin
2015,1835.0,1414.0,421.0,145.0,11.0,134.0,23.0,3.0,20.0,29.0,West Virginia
2015,798.0,500.0,298.0,37.0,4.0,33.0,12.0,0.0,12.0,20.0,Wyoming
2014,1784.0,1209.0,575.0,,,,,,,,Alaska
2014,4561.0,3115.0,1446.0,,,,,,,,Alabama
2014,2936.0,2303.0,633.0,,,,,,,,Arkansas
2014,10495.0,6194.0,4301.0,,,,,,,,Arizona
2014,113952.0,90765.0,23187.0,,,,,,,,California
2014,10028.0,5573.0,4455.0,,,,,,,,Colorado
2014,4450.0,3069.0,1381.0,,,,,,,,Connecticut
2014,7748.0,3953.0,3795.0,,,,,,,,Washington DC
2014,901.0,584.0,317.0,,,,,,,,Delaware
2014,41542.0,28730.0,12812.0,,,,,,,,Florida
2014,16521.0,12403.0,4118.0,,,,,,,,Georgia
2014,6918.0,3750.0,3168.0,,,,,,,,Hawaii
2014,3122.0,1544.0,1578.0,,,,,,,,Iowa
2014,2104.0,1234.0,870.0,,,,,,,,Idaho
2014,13107.0,7350.0,5757.0,,,,,,,,Illinois
2014,5971.0,3953.0,2018.0,,,,,,,,Indiana
2014,2783.0,1533.0,1250.0,,,,,,,,Kansas*
2014,5089.0,3352.0,1737.0,,,,,,,,Kentucky
2014,4606.0,3444.0,1162.0,,,,,,,,Louisiana
2014,21237.0,6788.0,14449.0,,,,,,,,Massachusetts
2014,7856.0,4980.0,2876.0,,,,,,,,Maryland
2014,2726.0,1348.0,1378.0,,,,,,,,Maine
2014,12227.0,7535.0,4692.0,,,,,,,,Michigan
2014,8377.0,3652.0,4725.0,,,,,,,,Minnesota
2014,7282.0,4307.0,2975.0,,,,,,,,Missouri
2014,2226.0,1714.0,512.0,,,,,,,,Mississippi
2014,1745.0,1167.0,578.0,,,,,,,,Montana
2014,11491.0,7498.0,3993.0,,,,,,,,North Carolina
2014,1258.0,886.0,372.0,,,,,,,,North Dakota
2014,3026.0,1893.0,1133.0,,,,,,,,Nebraska
2014,1376.0,795.0,581.0,,,,,,,,New Hampshire
2014,11671.0,6446.0,5225.0,,,,,,,,New Jersey
2014,2746.0,1804.0,942.0,,,,,,,,New Mexico
2014,8582.0,7356.0,1226.0,,,,,,,,Nevada
2014,80590.0,32643.0,47947.0,,,,,,,,New York
2014,11823.0,7704.0,4119.0,,,,,,,,Ohio
2014,4191.0,2964.0,1227.0,,,,,,,,Oklahoma
