state,year,program,amount
CA,2011,HOME,231224410.0
CA,2011,HOPWA,37864709.0
CA,2011,NSP,149308649.0
CA,2012,CDBG,351573471.0
CA,2012,CoC,258979468.0
CA,2012,ESG,35949907.0
CA,2012,HOME,131050655.0
CA,2012,HOPWA,44666548.0
CA,2013,CDBG,367204607.0
CA,2013,CoC,275521758.0
CA,2013,ESG,25648417.0
CA,2013,HOME,127115742.0
CA,2013,HOPWA,38402895.0
CA,2014,CDBG,359959007.0
CA,2014,CoC,307573759.0
CA,2014,ESG,29840977.0
CA,2014,HOME,133027452.0
CA,2014,HOPWA,38223583.0
CA,2015,CDBG,356864263.0
CA,2015,CoC,336507106.0
CA,2015,ESG,32096222.0
CA,2015,HOME,120549096.0
CA,2015,HOPWA,39656424.0
CA,2016,CDBG,356855242.0
CA,2016,CoC,353937202.0
CA,2016,ESG,32252721.0
CA,2016,HOME,129452836.0
CA,2016,HOPWA,34945333.0
CA,2016,HTF,10128143.59
CA,2017,CDBG,356887970.0
CA,2017,CoC,382567077.0
CA,2017,ESG,34287254.0
CA,2017,HOME,129203619.0
CA,2017,HOPWA,38859386.0
CA,2017,HTF,23228114.94
CA,2018,CDBG,392060649.0
CA,2018,ESG,32266165.0
CA,2018,HOME,186506661.0
CA,2018,HOPWA,42973796.0
CA,2018,HTF,36616277.45
CO,2003,CDBG,44768000.0
CO,2003,Emergency Shelter Grants Program,1448000.0
CO,2003,HOME,22985797.0
CO,2003,HOPWA,1780000.0
CO,2004,CDBG,44918803.0
CO,2004,Emergency Shelter Grants Program,1637443.0
CO,2004,HOME,23190107.0
CO,2004,HOPWA,2279036.0
CO,2005,CDBG,42712348.0
CO,2005,CoC,12364223.0
CO,2005,Emergency Shelter Grants Program,1642810.0
CO,2005,HOME,22086649.0
CO,2005,HOPWA,2426643.0
CO,2006,CDBG,38556046.0
CO,2006,CoC,13196674.0
CO,2006,Emergency Shelter Grants Program,1642738.0
CO,2006,HOME,20782071.0
CO,2006,HOPWA,1723000.0
CO,2007,CDBG,38573936.0
CO,2007,CoC,14928793.0
CO,2007,Emergency Shelter Grants Program,1662716.0
CO,2007,HOME,20540681.0
CO,2007,HOPWA,2336379.0
CO,2008,CDBG,37299637.0
CO,2008,CoC,17788891.0
CO,2008,Emergency Shelter Grants Program,1662137.0
CO,2008,HOME,19823459.0
CO,2008,HOPWA,1793000.0
CO,2009,CDBG,36435170.0
CO,2009,CoC,18508354.0
CO,2009,Emergency Shelter Grants Program,1660707.0
CO,2009,HOME,22014564.0
CO,2009,HOPWA,1844814.0
CO,2009,NSP,53053033.0
CO,2010,CDBG,40776639.0
CO,2010,CoC,19865245.0
CO,2010,Emergency Shelter Grants Program,1649343.0
CO,2010,HOME,22028009.0
CO,2010,HOPWA,1998180.0
CO,2010,NSP,18994444.0
CO,2011,CDBG,34036991.0
CO,2011,CoC,20181667.0
CO,2011,ESG,929292.0
CO,2011,Emergency Shelter Grants Program,1652073.0
CO,2011,HOME,19312607.0
CO,2011,HOPWA,2602349.0
CO,2011,NSP,17349269.0
CO,2012,CDBG,32933094.0
CO,2012,CoC,21126224.0
CO,2012,ESG,2947514.0
CO,2012,HOME,12988108.0
CO,2012,HOPWA,2000579.0
CO,2013,CDBG,34636700.0
CO,2013,CoC,21662747.0
CO,2013,ESG,2402591.0
CO,2013,HOME,12526476.0
CO,2013,HOPWA,1886007.0
CO,2014,CDBG,34057713.0
CO,2014,CoC,25814762.0
CO,2014,ESG,2813842.0
CO,2014,HOME,13016657.0
CO,2014,HOPWA,2640352.0
CO,2015,CDBG,33757094.0
CO,2015,CoC,29714758.0
CO,2015,ESG,3035790.0
CO,2015,HOME,12427528.0
CO,2015,HOPWA,1979487.0
CO,2016,CDBG,33799265.0
CO,2016,CoC,29756915.0
CO,2016,ESG,3038667.0
CO,2016,HOME,13199809.0
CO,2016,HOPWA,2002681.0
CO,2016,HTF,3000000.0
CO,2017,CDBG,34248560.0
CO,2017,CoC,30593296.0
CO,2017,ESG,3469984.0
CO,2017,HOME,13224242.0
CO,2017,HOPWA,2281992.0
CO,2017,HTF,3154331.0
CO,2018,CDBG,36808926.0
CO,2018,ESG,3020183.0
CO,2018,HOME,18727680.0
CO,2018,HOPWA,2585000.0
CO,2018,HTF,3563587.0
CT,2003,CDBG,49399000.0
