state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
OR,Oregon ,2016,13238.0,3460.0,554.0,2906.0,9778.0,506.0,2571.0,48.0,335.0
PA,Pennsylvania ,2016,15339.0,1325.0,787.0,538.0,14014.0,673.0,536.0,114.0,2.0
RI,Rhode Island ,2016,1160.0,144.0,141.0,3.0,1016.0,133.0,3.0,8.0,0.0
SC,South Carolina ,2016,5051.0,988.0,448.0,540.0,4063.0,395.0,518.0,53.0,22.0
SD,South Dakota ,2016,1072.0,44.0,37.0,7.0,1028.0,30.0,4.0,7.0,3.0
TN,Tennessee ,2016,8779.0,1782.0,694.0,1088.0,6997.0,613.0,1027.0,81.0,61.0
TX,Texas ,2016,23122.0,3689.0,1637.0,2052.0,19433.0,1500.0,2034.0,137.0,18.0
UT,Utah ,2016,2807.0,190.0,180.0,10.0,2617.0,158.0,10.0,22.0,0.0
VA,Virginia ,2016,6268.0,793.0,568.0,225.0,5475.0,525.0,225.0,43.0,0.0
VT,Vermont ,2016,1117.0,127.0,81.0,46.0,990.0,74.0,46.0,7.0,0.0
WA,Washington ,2016,20827.0,2567.0,981.0,1586.0,18260.0,825.0,1482.0,156.0,104.0
WI,Wisconsin ,2016,5685.0,363.0,296.0,67.0,5322.0,209.0,67.0,87.0,0.0
WV,West Virginia ,2016,1387.0,165.0,117.0,48.0,1222.0,113.0,48.0,4.0,0.0
WY,Wyoming ,2016,857.0,91.0,33.0,58.0,766.0,29.0,51.0,4.0,7.0
AK,Alaska ,2015,1956.0,222.0,81.0,141.0,1734.0,70.0,112.0,11.0,29.0
AL,Alabama,2015,3970.0,607.0,168.0,439.0,3363.0,157.0,400.0,11.0,39.0
AR,Arkansas ,2015,2560.0,623.0,319.0,304.0,1937.0,234.0,290.0,85.0,14.0
AZ,Arizona ,2015,9896.0,1366.0,344.0,1022.0,8530.0,297.0,949.0,47.0,73.0
CA,California ,2015,115738.0,32227.0,5077.0,27150.0,83511.0,4169.0,25009.0,908.0,2141.0
CO,Colorado ,2015,9953.0,1877.0,882.0,995.0,8076.0,754.0,818.0,128.0,177.0
CT,Connecticut ,2015,4047.0,583.0,278.0,305.0,3464.0,240.0,298.0,38.0,7.0
DC,Washington DC,2015,7298.0,1790.0,1470.0,320.0,5508.0,1273.0,320.0,197.0,0.0
