GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Pennsylvania,12784227,10340877,15158,1407047,11772,23556,3760,423180,5309,3417,1040,262396,14058,323754,13735,41390,5747,282364,11719
Rhode Island,1056426,850105,6310,67526,4174,5304,1774,36875,2185,1437,945,62292,6199,32887,4436,6927,2248,25960,3695
South Carolina,4961119,3342552,9869,1337644,8535,16010,2758,76870,3837,2561,1146,77386,9581,108096,9006,9158,2045,98938,8507
South Dakota,865454,732939,2644,14524,1410,77378,3710,12953,1806,218,228,5894,1933,21548,2935,1556,878,19992,2723
Tennessee,6651194,5177478,9138,1114434,9305,19053,2905,116375,3917,4798,2309,79206,7466,139850,9818,12055,2519,127795,9338
Texas,27862596,20702709,41751,3362283,16932,135275,9522,1300300,10959,25228,3345,1622087,41067,714714,21781,144589,11011,570125,17312
Utah,3051217,2633283,10649,32800,2988,31702,2887,70150,3381,29463,2219,164775,9993,89044,6578,13719,2960,75325,5366
Vermont,624594,589379,961,7893,1034,2177,936,9406,1088,252,261,3163,1496,12324,1632,559,311,11765,1572
Virginia,8411808,5707035,12066,1601868,11353,23156,3519,532320,7196,8379,2085,228627,12459,310423,12755,35061,4260,275362,12151
Washington,7288000,5516602,14010,266977,8785,94637,6519,597215,8484,48182,3043,350251,13940,414136,15502,35409,4659,378727,14273
West Virginia,1831102,1704195,2452,69721,3260,3851,1223,14133,1491,404,375,7494,1784,31304,3390,1399,739,29905,3379
Wisconsin,5778709,4941688,8179,361653,4783,52608,2643,155252,3125,1534,560,125644,7705,140330,7902,17799,3375,122531,6986
Wyoming,585501,538819,2339,5970,1540,13194,1467,6012,1394,420,518,5782,1948,15304,2090,1812,892,13492,1943
