State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
WA,2014,7,"18,442","12,540","5,902","11,390","6,257","5,133","7,052","6,283",769,"2,535","1,129","1,406","2,311","1,015","1,296",224,114,110,"1,433","1,089",344,,,,,,,,,,,,,,,,,,,,,
WI,2014,4,"6,055","5,712",343,"2,929","2,676",253,"3,126","3,036",90,524,447,77,436,359,77,88,88,0,520,496,24,,,,,,,,,,,,,,,,,,,,,
WV,2014,4,"2,013","1,583",430,"1,488","1,175",313,525,408,117,482,304,178,424,279,145,58,25,33,333,303,30,,,,,,,,,,,,,,,,,,,,,
WY,2014,1,757,563,194,463,327,136,294,236,58,144,104,40,105,86,19,39,18,21,116,95,21,,,,,,,,,,,,,,,,,,,,,
AK,2013,2,"1,946","1,741",205,"1,362","1,208",154,584,533,51,184,138,46,166,124,42,18,14,4,210,188,22,,,,,,,,,,,,,,,,,,,,,
AL,2013,8,"4,689","3,246","1,443","3,387","2,212","1,175","1,302","1,034",268,858,295,563,768,249,519,90,46,44,511,363,148,,,,,,,,,,,,,,,,,,,,,
AR,2013,6,"3,812","1,664","2,148","3,174","1,177","1,997",638,487,151,602,171,431,565,142,423,37,29,8,462,326,136,,,,,,,,,,,,,,,,,,,,,
AZ,2013,3,"10,562","7,431","3,131","6,510","3,662","2,848","4,052","3,769",283,"1,188",520,668,"1,064",450,614,124,70,54,"1,222",901,321,,,,,,,,,,,,,,,,,,,,,
CA,2013,40,"118,552","45,554","72,998","93,458","26,426","67,032","25,094","19,128","5,966","33,112","5,251","27,861","29,248","4,177","25,071","3,864","1,074","2,790","12,895","4,886","8,009",,,,,,,,,,,,,,,,,,,,,
CO,2013,3,"9,754","7,591","2,163","4,664","3,075","1,589","5,090","4,516",574,"1,780",846,934,"1,354",665,689,426,181,245,685,452,233,,,,,,,,,,,,,,,,,,,,,
CT,2013,6,"4,448","3,529",919,"3,101","2,275",826,"1,347","1,254",93,"1,046",678,368,872,542,330,174,136,38,341,267,74,,,,,,,,,,,,,,,,,,,,,
DC,2013,1,"6,865","6,353",512,"3,696","3,184",512,"3,169","3,169",0,"2,027","1,566",461,"1,764","1,303",461,263,263,0,499,435,64,,,,,,,,,,,,,,,,,,,,,
DE,2013,1,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3,,,,,,,,,,,,,,,,,,,,,
FL,2013,28,"47,862","19,670","28,192","31,359","12,330","19,029","16,503","7,340","9,163","9,647","1,873","7,774","7,778","1,608","6,170","1,869",265,"1,604","5,505","2,328","3,177",,,,,,,,,,,,,,,,,,,,,
GA,2013,9,"16,971","8,510","8,461","12,880","5,250","7,630","4,091","3,260",831,"3,082",936,"2,146","2,713",842,"1,871",369,94,275,"1,805",900,905,,,,,,,,,,,,,,,,,,,,,
GU,2013,1,"1,271",128,"1,143",296,35,261,975,93,882,290,1,289,51,1,50,239,0,239,32,2,30,,,,,,,,,,,,,,,,,,,,,
HI,2013,2,"6,335","3,745","2,590","3,355","1,142","2,213","2,980","2,603",377,"1,180",273,907,"1,031",212,819,149,61,88,558,234,324,,,,,,,,,,,,,,,,,,,,,
IA,2013,3,"3,084","2,950",134,"1,524","1,392",132,"1,560","1,558",2,327,258,69,277,208,69,50,50,0,229,220,9,,,,,,,,,,,,,,,,,,,,,
ID,2013,2,"1,781","1,404",377,"1,084",775,309,697,629,68,271,165,106,193,105,88,78,60,18,208,162,46,,,,,,,,,,,,,,,,,,,,,
IL,2013,20,"13,425","11,229","2,196","7,958","6,104","1,854","5,467","5,125",342,"1,574",980,594,"1,403",890,513,171,90,81,"1,267",882,385,,,,,,,,,,,,,,,,,,,,,
IN,2013,3,"6,096","5,396",700,"3,751","3,167",584,"2,345","2,229",116,580,409,171,511,343,168,69,66,3,743,666,77,,,,,,,,,,,,,,,,,,,,,
KS,2013,5,"2,693","2,382",311,"1,480","1,238",242,"1,213","1,144",69,356,249,107,304,204,100,52,45,7,414,384,30,,,,,,,,,,,,,,,,,,,,,
KY,2013,3,"5,245","4,491",754,"3,302","2,733",569,"1,943","1,758",185,541,268,273,394,219,175,147,49,98,607,510,97,,,,,,,,,,,,,,,,,,,,,
LA,2013,9,"5,226","3,651","1,575","3,908","2,401","1,507","1,318","1,250",68,"1,115",245,870,"1,015",227,788,100,18,82,575,383,192,,,,,,,,,,,,,,,,,,,,,
MA,2013,18,"19,029","18,179",850,"6,694","5,883",811,"12,335","12,296",39,"2,115","1,715",400,"1,577","1,180",397,538,535,3,"1,253","1,204",49,,,,,,,,,,,,,,,,,,,,,
MD,2013,16,"8,205","6,283","1,922","5,221","3,717","1,504","2,984","2,566",418,"1,480",862,618,"1,249",725,524,231,137,94,673,563,110,,,,,,,,,,,,,,,,,,,,,
ME,2013,2,"3,016","2,954",62,"1,563","1,518",45,"1,453","1,436",17,176,176,0,159,159,0,17,17,0,164,150,14,,,,,,,,,,,,,,,,,,,,,
MI,2013,21,"11,527","9,339","2,188","7,236","5,519","1,717","4,291","3,820",471,"1,106",666,440,969,578,391,137,88,49,"1,100",945,155,,,,,,,,,,,,,,,,,,,,,
MN,2013,10,"8,214","7,299",915,"3,728","3,023",705,"4,486","4,276",210,"1,350","1,001",349,915,622,293,435,379,56,349,286,63,,,,,,,,,,,,,,,,,,,,,
MO,2013,8,"8,581","6,501","2,080","4,652","3,365","1,287","3,929","3,136",793,"1,037",601,436,695,394,301,342,207,135,843,667,176,,,,,,,,,,,,,,,,,,,,,
MP,2013,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,
MS,2013,3,"2,403","1,083","1,320","1,753",648,"1,105",650,435,215,475,68,407,408,61,347,67,7,60,210,129,81,,,,,,,,,,,,,,,,,,,,,
MT,2013,1,"1,878","1,094",784,"1,211",574,637,667,520,147,227,65,162,210,55,155,17,10,7,309,118,191,,,,,,,,,,,,,,,,,,,,,
NC,2013,12,"12,168","9,013","3,155","7,530","5,383","2,147","4,638","3,630","1,008","1,842",802,"1,040","1,451",675,776,391,127,264,"1,123",934,189,,,,,,,,,,,,,,,,,,,,,
ND,2013,1,"2,069",674,"1,395","1,230",443,787,839,231,608,179,68,111,110,68,42,69,0,69,241,60,181,,,,,,,,,,,,,,,,,,,,,
NE,2013,3,"3,145","2,972",173,"1,892","1,733",159,"1,253","1,239",14,414,342,72,339,273,66,75,69,6,183,161,22,,,,,,,,,,,,,,,,,,,,,
NH,2013,3,"1,447","1,245",202,798,626,172,649,619,30,255,135,120,226,118,108,29,17,12,125,112,13,,,,,,,,,,,,,,,,,,,,,
NJ,2013,17,"12,002","10,603","1,399","6,093","4,916","1,177","5,909","5,687",222,"1,237",847,390,"1,002",638,364,235,209,26,540,420,120,,,,,,,,,,,,,,,,,,,,,
NM,2013,2,"2,819","2,391",428,"1,786","1,411",375,"1,033",980,53,525,306,219,399,240,159,126,66,60,243,183,60,,,,,,,,,,,,,,,,,,,,,
NV,2013,3,"7,039","3,698","3,341","6,200","2,899","3,301",839,799,40,724,377,347,718,375,343,6,2,4,790,477,313,,,,,,,,,,,,,,,,,,,,,
NY,2013,30,"77,430","73,273","4,157","31,235","27,214","4,021","46,195","46,059",136,"6,317","3,885","2,432","4,045","1,673","2,372","2,272","2,212",60,"4,659","4,201",458,,,,,,,,,,,,,,,,,,,,,
OH,2013,9,"12,325","10,987","1,338","7,611","6,472","1,139","4,714","4,515",199,"1,753","1,207",546,"1,677","1,135",542,76,72,4,"1,212","1,050",162,,,,,,,,,,,,,,,,,,,,,
OK,2013,8,"4,408","3,262","1,146","3,179","2,320",859,"1,229",942,287,719,330,389,617,260,357,102,70,32,437,338,99,,,,,,,,,,,,,,,,,,,,,
OR,2013,7,"13,822","6,432","7,390","8,994","3,602","5,392","4,828","2,830","1,998","3,043",723,"2,320","2,444",588,"1,856",599,135,464,"1,494",709,785,,,,,,,,,,,,,,,,,,,,,
PA,2013,18,"15,086","13,727","1,359","7,973","6,767","1,206","7,113","6,960",153,"1,681","1,010",671,"1,536",889,647,145,121,24,"1,462","1,290",172,,,,,,,,,,,,,,,,,,,,,
PR,2013,2,"4,128","1,402","2,726","3,470","1,057","2,413",658,345,313,"2,130",261,"1,869","1,629",256,"1,373",501,5,496,82,40,42,,,,,,,,,,,,,,,,,,,,,
RI,2013,1,"1,384","1,267",117,862,753,109,522,514,8,251,198,53,243,190,53,8,8,0,97,95,2,,,,,,,,,,,,,,,,,,,,,
SC,2013,4,"6,544","3,411","3,133","4,736","2,339","2,397","1,808","1,072",736,483,143,340,453,125,328,30,18,12,636,345,291,,,,,,,,,,,,,,,,,,,,,
SD,2013,1,"1,094",755,339,557,394,163,537,361,176,217,71,146,117,42,75,100,29,71,125,106,19,,,,,,,,,,,,,,,,,,,,,
TN,2013,10,"9,528","6,321","3,207","6,909","4,632","2,277","2,619","1,689",930,"2,219","1,162","1,057","1,929","1,079",850,290,83,207,991,728,263,,,,,,,,,,,,,,,,,,,,,
TX,2013,12,"29,615","17,525","12,090","20,758","9,681","11,077","8,857","7,844","1,013","5,535","2,168","3,367","4,770","1,677","3,093",765,491,274,"3,878","2,007","1,871",,,,,,,,,,,,,,,,,,,,,
UT,2013,3,"3,277","2,859",418,"1,959","1,593",366,"1,318","1,266",52,454,349,105,347,268,79,107,81,26,327,290,37,,,,,,,,,,,,,,,,,,,,,
VA,2013,16,"7,625","6,603","1,022","4,532","3,587",945,"3,093","3,016",77,"1,356",875,481,"1,262",797,465,94,78,16,719,625,94,,,,,,,,,,,,,,,,,,,,,
VI,2013,1,482,119,363,444,81,363,38,38,0,87,0,87,87,0,87,0,0,0,33,2,31,,,,,,,,,,,,,,,,,,,,,
VT,2013,2,"1,454","1,270",184,701,547,154,753,723,30,217,140,77,183,110,73,34,30,4,128,111,17,,,,,,,,,,,,,,,,,,,,,
WA,2013,7,"17,760","12,707","5,053","10,617","6,032","4,585","7,143","6,675",468,"2,196","1,076","1,120","1,927",955,972,269,121,148,"1,318","1,058",260,,,,,,,,,,,,,,,,,,,,,
WI,2013,4,"6,104","5,736",368,"3,005","2,703",302,"3,099","3,033",66,521,383,138,449,313,136,72,70,2,552,528,24,,,,,,,,,,,,,,,,,,,,,
WV,2013,4,"2,240","1,612",628,"1,544","1,038",506,696,574,122,432,250,182,390,211,179,42,39,3,329,292,37,,,,,,,,,,,,,,,,,,,,,
WY,2013,1,953,501,452,677,306,371,276,195,81,244,116,128,221,116,105,23,0,23,137,110,27,,,,,,,,,,,,,,,,,,,,,
AK,2012,2,"1,913","1,716",197,"1,298","1,157",141,615,559,56,279,263,16,273,257,16,6,6,0,256,227,29,,,,,,,,,,,,,,,,,,,,,
AL,2012,8,"5,209","3,664","1,545","3,825","2,573","1,252","1,384","1,091",293,969,353,616,910,331,579,59,22,37,526,377,149,,,,,,,,,,,,,,,,,,,,,
AR,2012,6,"4,214","1,602","2,612","3,428","1,191","2,237",786,411,375,437,171,266,361,142,219,76,29,47,362,205,157,,,,,,,,,,,,,,,,,,,,,
AZ,2012,3,"11,302","8,215","3,087","6,310","3,786","2,524","4,992","4,429",563,"1,895",615,"1,280","1,605",389,"1,216",290,226,64,"1,478","1,007",471,,,,,,,,,,,,,,,,,,,,,
CA,2012,42,"120,098","45,890","74,208","94,888","26,494","68,394","25,210","19,396","5,814","33,356","5,458","27,898","30,189","4,912","25,277","3,167",546,"2,621","14,611","4,512","10,099",,,,,,,,,,,,,,,,,,,,,
CO,2012,3,"16,768","7,260","9,508","5,101","2,847","2,254","11,667","4,413","7,254","1,943",784,"1,159","1,612",493,"1,119",331,291,40,"1,512",800,712,,,,,,,,,,,,,,,,,,,,,
CT,2012,7,"4,209","3,514",695,"2,906","2,252",654,"1,303","1,262",41,944,614,330,924,594,330,20,20,0,332,285,47,,,,,,,,,,,,,,,,,,,,,
DC,2012,1,"6,954","6,275",679,"3,767","3,088",679,"3,187","3,187",0,"2,315","1,773",542,"1,870","1,328",542,445,445,0,531,466,65,,,,,,,,,,,,,,,,,,,,,
DE,2012,1,"1,008",986,22,611,589,22,397,397,0,100,89,11,84,73,11,16,16,0,66,64,2,,,,,,,,,,,,,,,,,,,,,
FL,2012,28,"55,170","19,832","35,338","36,771","12,801","23,970","18,399","7,031","11,368","10,054","2,406","7,648","8,682","2,132","6,550","1,372",274,"1,098","5,331","2,201","3,130",,,,,,,,,,,,,,,,,,,,,
GA,2012,7,"20,516","8,320","12,196","15,363","4,816","10,547","5,153","3,504","1,649","3,843","1,426","2,417","3,016","1,030","1,986",827,396,431,"2,297","1,094","1,203",,,,,,,,,,,,,,,,,,,,,
GU,2012,1,"1,301",187,"1,114",255,65,190,"1,046",122,924,226,0,226,22,0,22,204,0,204,31,6,25,,,,,,,,,,,,,,,,,,,,,
HI,2012,2,"6,246","3,726","2,520","3,130","1,075","2,055","3,116","2,651",465,949,146,803,910,128,782,39,18,21,507,230,277,,,,,,,,,,,,,,,,,,,,,
IA,2012,3,"2,928","2,780",148,"1,446","1,302",144,"1,482","1,478",4,307,218,89,270,181,89,37,37,0,217,205,12,,,,,,,,,,,,,,,,,,,,,
ID,2012,2,"1,968","1,482",486,"1,175",787,388,793,695,98,252,111,141,200,90,110,52,21,31,260,184,76,,,,,,,,,,,,,,,,,,,,,
IL,2012,20,"14,144","11,149","2,995","8,269","5,808","2,461","5,875","5,341",534,"2,206","1,144","1,062","2,079","1,086",993,127,58,69,"1,147",813,334,,,,,,,,,,,,,,,,,,,,,
IN,2012,3,"6,259","5,370",889,"3,316","2,661",655,"2,943","2,709",234,545,369,176,461,285,176,84,84,0,687,547,140,,,,,,,,,,,,,,,,,,,,,
KS,2012,5,"2,684","2,350",334,"1,526","1,265",261,"1,158","1,085",73,371,275,96,307,218,89,64,57,7,373,329,44,,,,,,,,,,,,,,,,,,,,,
KY,2012,3,"5,230","4,319",911,"3,282","2,555",727,"1,948","1,764",184,629,423,206,497,347,150,132,76,56,440,369,71,,,,,,,,,,,,,,,,,,,,,
LA,2012,9,"7,772","3,807","3,965","6,322","2,438","3,884","1,450","1,369",81,"2,893",352,"2,541","2,743",280,"2,463",150,72,78,899,450,449,,,,,,,,,,,,,,,,,,,,,
MA,2012,19,"17,501","16,779",722,"6,289","5,577",712,"11,212","11,202",10,"2,055","1,723",332,"1,500","1,168",332,555,555,0,"1,181","1,126",55,,,,,,,,,,,,,,,,,,,,,
MD,2012,16,"9,454","5,942","3,512","5,727","3,445","2,282","3,727","2,497","1,230","1,407",559,848,"1,259",489,770,148,70,78,617,513,104,,,,,,,,,,,,,,,,,,,,,
ME,2012,2,"2,393","2,360",33,"1,287","1,254",33,"1,106","1,106",0,233,231,2,222,220,2,11,11,0,116,116,0,,,,,,,,,,,,,,,,,,,,,
MI,2012,21,"12,592","10,270","2,322","7,397","5,487","1,910","5,195","4,783",412,"1,370",843,527,"1,174",690,484,196,153,43,"1,017",835,182,,,,,,,,,,,,,,,,,,,,,
MN,2012,10,"7,744","6,754",990,"3,540","2,793",747,"4,204","3,961",243,"1,718","1,346",372,"1,004",700,304,714,646,68,309,243,66,,,,,,,,,,,,,,,,,,,,,
MO,2012,8,"10,237","7,893","2,344","4,855","3,531","1,324","5,382","4,362","1,020","1,632","1,028",604,906,609,297,726,419,307,899,714,185,,,,,,,,,,,,,,,,,,,,,
MP,2012,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,
MS,2012,3,"2,413","1,042","1,371","1,794",626,"1,168",619,416,203,501,67,434,450,55,395,51,12,39,244,71,173,,,,,,,,,,,,,,,,,,,,,
MT,2012,1,"1,833","1,153",680,"1,166",653,513,667,500,167,388,213,175,304,161,143,84,52,32,323,147,176,,,,,,,,,,,,,,,,,,,,,
NC,2012,12,"13,524","8,809","4,715","8,480","5,461","3,019","5,044","3,348","1,696","1,621",702,919,"1,465",641,824,156,61,95,"1,413","1,091",322,,,,,,,,,,,,,,,,,,,,,
ND,2012,1,688,635,53,485,445,40,203,190,13,86,78,8,81,75,6,5,3,2,160,144,16,,,,,,,,,,,,,,,,,,,,,
NE,2012,3,"3,789","2,957",832,"2,215","1,861",354,"1,574","1,096",478,501,333,168,396,288,108,105,45,60,249,213,36,,,,,,,,,,,,,,,,,,,,,
NH,2012,3,"1,496","1,329",167,832,683,149,664,646,18,274,180,94,237,151,86,37,29,8,127,116,11,,,,,,,,,,,,,,,,,,,,,
NJ,2012,19,"13,025","11,429","1,596","6,603","5,387","1,216","6,422","6,042",380,"1,026",717,309,881,609,272,145,108,37,592,465,127,,,,,,,,,,,,,,,,,,,,,
NM,2012,2,"3,245","2,397",848,"2,136","1,471",665,"1,109",926,183,"1,072",613,459,973,566,407,99,47,52,345,202,143,,,,,,,,,,,,,,,,,,,,,
NV,2012,3,"8,497","3,970","4,527","7,493","2,999","4,494","1,004",971,33,"1,725",599,"1,126","1,603",480,"1,123",122,119,3,"1,229",691,538,,,,,,,,,,,,,,,,,,,,,
NY,2012,31,"69,566","65,482","4,084","30,133","26,097","4,036","39,433","39,385",48,"4,897","2,461","2,436","4,324","1,902","2,422",573,559,14,"4,961","4,370",591,,,,,,,,,,,,,,,,,,,,,
OH,2012,9,"13,977","12,246","1,731","7,855","6,432","1,423","6,122","5,814",308,"1,982","1,367",615,"1,788","1,196",592,194,171,23,"1,244","1,034",210,,,,,,,,,,,,,,,,,,,,,
OK,2012,8,"5,032","3,043","1,989","3,454","2,073","1,381","1,578",970,608,569,287,282,481,237,244,88,50,38,404,299,105,,,,,,,,,,,,,,,,,,,,,
OR,2012,7,"15,828","6,545","9,283","9,788","3,492","6,296","6,040","3,053","2,987","3,302",754,"2,548","2,782",654,"2,128",520,100,420,"1,356",558,798,,,,,,,,,,,,,,,,,,,,,
PA,2012,18,"14,736","13,660","1,076","7,295","6,316",979,"7,441","7,344",97,"2,106","1,121",985,"1,564",971,593,542,150,392,"1,456","1,321",135,,,,,,,,,,,,,,,,,,,,,
PR,2012,2,"3,212","1,346","1,866","2,494",944,"1,550",718,402,316,"3,251",251,"3,000","1,597",199,"1,398","1,654",52,"1,602",116,29,87,,,,,,,,,,,,,,,,,,,,,
RI,2012,1,"1,277","1,249",28,788,760,28,489,489,0,154,154,0,148,148,0,6,6,0,96,96,0,,,,,,,,,,,,,,,,,,,,,
SC,2012,4,"4,915","2,776","2,139","3,327","1,789","1,538","1,588",987,601,528,114,414,388,113,275,140,1,139,543,320,223,,,,,,,,,,,,,,,,,,,,,
SD,2012,1,859,795,64,512,465,47,347,330,17,138,125,13,113,100,13,25,25,0,124,114,10,,,,,,,,,,,,,,,,,,,,,
TN,2012,10,"9,426","5,778","3,648","6,905","4,167","2,738","2,521","1,611",910,"2,266","1,126","1,140","2,114","1,053","1,061",152,73,79,"1,285",973,312,,,,,,,,,,,,,,,,,,,,,
TX,2012,14,"34,052","17,501","16,551","20,743","9,030","11,713","13,309","8,471","4,838","6,650","2,180","4,470","6,115","1,860","4,255",535,320,215,"4,364","1,884","2,480",,,,,,,,,,,,,,,,,,,,,
UT,2012,3,"3,527","3,052",475,"2,049","1,641",408,"1,478","1,411",67,443,299,144,331,240,91,112,59,53,330,297,33,,,,,,,,,,,,,,,,,,,,,
VA,2012,19,"8,424","6,995","1,429","5,084","3,799","1,285","3,340","3,196",144,"1,646","1,042",604,"1,531",969,562,115,73,42,881,727,154,,,,,,,,,,,,,,,,,,,,,
VI,2012,1,484,106,378,438,60,378,46,46,0,193,2,191,193,2,191,0,0,0,33,1,32,,,,,,,,,,,,,,,,,,,,,
VT,2012,2,"1,160",937,223,653,483,170,507,454,53,228,153,75,190,128,62,38,25,13,109,93,16,,,,,,,,,,,,,,,,,,,,,
WA,2012,7,"20,504","15,027","5,477","11,273","6,444","4,829","9,231","8,583",648,"2,213","1,227",986,"2,041","1,138",903,172,89,83,"1,475","1,097",378,,,,,,,,,,,,,,,,,,,,,
WI,2012,4,"6,027","5,446",581,"3,033","2,619",414,"2,994","2,827",167,487,361,126,377,270,107,110,91,19,539,525,14,,,,,,,,,,,,,,,,,,,,,
WV,2012,4,"2,410","1,533",877,"1,742","1,033",709,668,500,168,410,215,195,346,172,174,64,43,21,268,219,49,,,,,,,,,,,,,,,,,,,,,
WY,2012,1,"1,813",475,"1,338","1,302",292,"1,010",511,183,328,452,99,353,375,97,278,77,2,75,311,128,183,,,,,,,,,,,,,,,,,,,,,
AK,2011,2,"2,128","1,760",368,"1,286","1,042",244,842,718,124,253,194,59,226,169,57,27,25,2,288,236,52,,,,,,,,,,,,,,,,,,,,,
AL,2011,8,"5,558","3,749","1,809","4,325","2,782","1,543","1,233",967,266,"1,114",418,696,"1,046",396,650,68,22,46,659,387,272,,,,,,,,,,,,,,,,,,,,,
AR,2011,7,"3,424","1,802","1,622","2,505","1,320","1,185",919,482,437,607,328,279,500,267,233,107,61,46,411,268,143,,,,,,,,,,,,,,,,,,,,,
AZ,2011,3,"10,504","7,302","3,202","6,403","3,684","2,719","4,101","3,618",483,"2,283","1,028","1,255","1,939",738,"1,201",344,290,54,"1,528","1,018",510,,,,,,,,,,,,,,,,,,,,,
CA,2011,42,"125,128","50,691","74,437","97,964","29,028","68,936","27,164","21,663","5,501","34,589","7,039","27,550","30,807","5,826","24,981","3,782","1,213","2,569","16,783","6,689","10,094",,,,,,,,,,,,,,,,,,,,,
CO,2011,3,"15,116","6,146","8,970","4,546","2,651","1,895","10,570","3,495","7,075","1,495",549,946,"1,288",376,912,207,173,34,"2,074","1,381",693,,,,,,,,,,,,,,,,,,,,,
CT,2011,7,"4,456","3,761",695,"3,071","2,417",654,"1,385","1,344",41,"1,099",769,330,"1,043",713,330,56,56,0,443,396,47,,,,,,,,,,,,,,,,,,,,,
DC,2011,1,"6,546","6,241",305,"3,858","3,553",305,"2,688","2,688",0,"2,509","2,234",275,"2,093","1,818",275,416,416,0,515,490,25,,,,,,,,,,,,,,,,,,,,,
DE,2011,1,"1,035","1,013",22,663,641,22,372,372,0,70,59,11,70,59,11,0,0,0,55,53,2,,,,,,,,,,,,,,,,,,,,,
FL,2011,28,"56,687","20,824","35,863","37,584","13,934","23,650","19,103","6,890","12,213","11,638","3,577","8,061","10,263","3,195","7,068","1,375",382,993,"5,644","2,276","3,368",,,,,,,,,,,,,,,,,,,,,
GA,2011,7,"20,975","8,723","12,252","15,975","5,388","10,587","5,000","3,335","1,665","4,581","2,112","2,469","3,879","1,841","2,038",702,271,431,"2,243","1,025","1,218",,,,,,,,,,,,,,,,,,,,,
GU,2011,1,"1,745",204,"1,541",279,36,243,"1,466",168,"1,298",370,0,370,25,0,25,345,0,345,33,7,26,,,,,,,,,,,,,,,,,,,,,
HI,2011,2,"6,188","3,632","2,556","3,195","1,077","2,118","2,993","2,555",438,935,116,819,904,111,793,31,5,26,505,210,295,,,,,,,,,,,,,,,,,,,,,
IA,2011,3,"3,134","3,013",121,"1,628","1,518",110,"1,506","1,495",11,351,284,67,315,248,67,36,36,0,267,255,12,,,,,,,,,,,,,,,,,,,,,
ID,2011,2,"2,199","1,585",614,"1,310",841,469,889,744,145,308,149,159,236,129,107,72,20,52,250,169,81,,,,,,,,,,,,,,,,,,,,,
IL,2011,20,"14,009","11,089","2,920","8,173","5,692","2,481","5,836","5,397",439,"2,563","1,483","1,080","2,400","1,393","1,007",163,90,73,"1,081",765,316,,,,,,,,,,,,,,,,,,,,,
IN,2011,3,"6,196","5,550",646,"3,789","3,256",533,"2,407","2,294",113,602,425,177,602,425,177,0,0,0,714,638,76,,,,,,,,,,,,,,,,,,,,,
KS,2011,5,"2,511","2,222",289,"1,425","1,200",225,"1,086","1,022",64,338,252,86,280,205,75,58,47,11,384,342,42,,,,,,,,,,,,,,,,,,,,,
KY,2011,3,"6,034","5,183",851,"3,842","3,170",672,"2,192","2,013",179,784,577,207,659,508,151,125,69,56,636,579,57,,,,,,,,,,,,,,,,,,,,,
LA,2011,9,"9,291","3,405","5,886","7,941","2,197","5,744","1,350","1,208",142,"4,433",165,"4,268","4,352",158,"4,194",81,7,74,950,443,507,,,,,,,,,,,,,,,,,,,,,
MA,2011,20,"16,664","15,961",703,"6,344","5,672",672,"10,320","10,289",31,"2,061","1,711",350,"1,666","1,319",347,395,392,3,"1,268","1,210",58,,,,,,,,,,,,,,,,,,,,,
MD,2011,16,"10,208","6,496","3,712","6,353","3,957","2,396","3,855","2,539","1,316","1,800",898,902,"1,627",803,824,173,95,78,696,577,119,,,,,,,,,,,,,,,,,,,,,
ME,2011,3,"2,447","2,418",29,"1,184","1,157",27,"1,263","1,261",2,212,202,10,212,202,10,0,0,0,127,121,6,,,,,,,,,,,,,,,,,,,,,
MI,2011,21,"13,185","10,864","2,321","7,634","5,721","1,913","5,551","5,143",408,"1,764","1,258",506,"1,611","1,142",469,153,116,37,959,755,204,,,,,,,,,,,,,,,,,,,,,
MN,2011,10,"7,495","6,567",928,"3,410","2,718",692,"4,085","3,849",236,"1,862","1,518",344,"1,211",955,256,651,563,88,449,371,78,,,,,,,,,,,,,,,,,,,,,
MO,2011,8,"8,989","6,718","2,271","4,657","3,263","1,394","4,332","3,455",877,"1,418",929,489,"1,156",792,364,262,137,125,852,627,225,,,,,,,,,,,,,,,,,,,,,
MP,2011,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,
MS,2011,3,"2,306","1,056","1,250","1,825",734,"1,091",481,322,159,471,135,336,438,126,312,33,9,24,205,114,91,,,,,,,,,,,,,,,,,,,,,
MT,2011,1,"1,768","1,216",552,"1,094",636,458,674,580,94,324,149,175,203,76,127,121,73,48,251,135,116,,,,,,,,,,,,,,,,,,,,,
NC,2011,12,"12,896","9,245","3,651","8,303","6,035","2,268","4,593","3,210","1,383","1,476",916,560,"1,365",845,520,111,71,40,"1,248",941,307,,,,,,,,,,,,,,,,,,,,,
ND,2011,1,603,560,43,396,366,30,207,194,13,75,69,6,67,63,4,8,6,2,124,121,3,,,,,,,,,,,,,,,,,,,,,
NE,2011,3,"3,548","3,041",507,"2,210","1,872",338,"1,338","1,169",169,502,409,93,445,361,84,57,48,9,310,253,57,,,,,,,,,,,,,,,,,,,,,
NH,2011,3,"1,469","1,159",310,820,631,189,649,528,121,226,148,78,166,93,73,60,55,5,126,118,8,,,,,,,,,,,,,,,,,,,,,
