State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
PR,2017,2,"3,525","1,013","2,512","3,141",800,"2,341",384,213,171,"1,078",142,936,"1,065",142,923,13,0,13,94,30,64,135,46,89,3,2,1,132,44,88,25,17,8,0,0,0,25,17,8,30,23,7
RI,2017,1,"1,180","1,111",69,802,733,69,378,378,0,240,215,25,240,215,25,0,0,0,95,92,3,49,41,8,1,1,0,48,40,8,6,6,0,0,0,0,6,6,0,10,10,0
SC,2017,4,"3,916","2,415","1,501","2,896","1,667","1,229","1,020",748,272,824,236,588,792,226,566,32,10,22,480,321,159,173,108,65,8,6,2,165,102,63,44,36,8,0,0,0,44,36,8,63,53,10
SD,2017,1,943,772,171,611,452,159,332,320,12,144,112,32,101,81,20,43,31,12,130,123,7,66,53,13,19,18,1,47,35,12,14,14,0,2,2,0,12,12,0,18,18,0
TN,2017,10,"8,309","5,544","2,765","6,137","3,883","2,254","2,172","1,661",511,"1,484",571,913,"1,295",482,813,189,89,100,757,615,142,457,276,181,23,17,6,434,259,175,47,37,10,0,0,0,47,37,10,89,61,28
TX,2017,11,"23,548","15,055","8,493","16,708","8,714","7,994","6,840","6,341",499,"3,711","1,481","2,230","3,497","1,319","2,178",214,162,52,"2,200","1,379",821,"1,318",772,546,129,113,16,"1,189",659,530,301,282,19,5,5,0,296,277,19,512,481,31
UT,2017,3,"2,852","2,574",278,"1,882","1,604",278,970,970,0,185,141,44,163,119,44,22,22,0,220,203,17,180,146,34,29,29,0,151,117,34,37,37,0,1,1,0,36,36,0,45,45,0
VA,2017,16,"6,067","5,059","1,008","4,028","3,049",979,"2,039","2,010",29,896,531,365,864,501,363,32,30,2,478,384,94,303,247,56,15,15,0,288,232,56,83,83,0,0,0,0,83,83,0,109,109,0
VI,2017,1,381,74,307,369,62,307,12,12,0,334,27,307,334,27,307,0,0,0,23,6,17,5,3,2,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
VT,2017,2,"1,225","1,091",134,697,600,97,528,491,37,127,94,33,111,82,29,16,12,4,94,89,5,94,83,11,2,1,1,92,82,10,35,29,6,0,0,0,35,29,6,36,33,3
WA,2017,7,"21,112","12,521","8,591","14,781","6,733","8,048","6,331","5,788",543,"4,939","1,747","3,192","4,357","1,290","3,067",582,457,125,"2,093","1,094",999,"2,135",733,"1,402",304,90,214,"1,831",643,"1,188",256,240,16,7,7,0,249,233,16,374,356,18
WI,2017,4,"5,027","4,687",340,"2,645","2,317",328,"2,382","2,370",12,434,367,67,342,275,67,92,92,0,329,309,20,276,240,36,28,25,3,248,215,33,145,142,3,0,0,0,145,142,3,190,188,2
WV,2017,4,"1,309","1,121",188,"1,032",860,172,277,261,16,206,140,66,188,131,57,18,9,9,137,124,13,79,69,10,7,7,0,72,62,10,10,10,0,0,0,0,10,10,0,13,13,0
WY,2017,1,873,510,363,622,383,239,251,127,124,68,26,42,14,14,0,54,12,42,63,50,13,62,43,19,19,6,13,43,37,6,16,13,3,0,0,0,16,13,3,11,8,3
AK,2016,2,"1,940","1,498",442,"1,527","1,089",438,413,409,4,122,94,28,112,84,28,10,10,0,168,112,56,173,137,36,19,19,0,154,118,36,9,9,0,0,0,0,9,9,0,10,10,0
AL,2016,8,"4,111","2,893","1,218","3,019","2,017","1,002","1,092",876,216,420,172,248,390,163,227,30,9,21,373,321,52,254,173,81,28,28,0,226,145,81,31,25,6,5,5,0,26,20,6,45,39,6
AR,2016,7,"2,463","1,616",847,"1,838","1,140",698,625,476,149,503,226,277,417,163,254,86,63,23,222,159,63,201,117,84,49,49,0,152,68,84,13,13,0,0,0,0,13,13,0,13,13,0
AZ,2016,3,"9,707","6,463","3,244","6,659","3,564","3,095","3,048","2,899",149,"1,395",468,927,"1,327",423,904,68,45,23,"1,036",663,373,589,431,158,100,92,8,489,339,150,150,150,0,1,1,0,149,149,0,222,222,0
CA,2016,43,"118,142","39,752","78,390","97,660","23,720","73,940","20,482","16,032","4,450","31,548","4,478","27,070","29,802","3,910","25,892","1,746",568,"1,178","9,612","4,012","5,600","11,222","2,531","8,691",847,213,634,"10,375","2,318","8,057",862,751,111,10,10,0,852,741,111,"1,098",935,163
CO,2016,3,"10,550","7,611","2,939","6,450","4,352","2,098","4,100","3,259",841,"1,829",949,880,"1,642",883,759,187,66,121,"1,181",906,275,653,383,270,39,26,13,614,357,257,157,133,24,2,1,1,155,132,23,217,187,30
CT,2016,2,"3,902","3,229",673,"2,570","1,903",667,"1,332","1,326",6,467,282,185,439,254,185,28,28,0,216,173,43,119,97,22,8,8,0,111,89,22,61,60,1,0,0,0,61,60,1,93,92,1
DC,2016,1,"8,350","8,032",318,"3,683","3,365",318,"4,667","4,667",0,"1,597","1,357",240,"1,501","1,261",240,96,96,0,350,322,28,211,178,33,10,10,0,201,168,33,527,527,0,0,0,0,527,527,0,688,688,0
DE,2016,1,"1,070","1,019",51,753,702,51,317,317,0,74,72,2,65,63,2,9,9,0,107,103,4,51,46,5,0,0,0,51,46,5,10,10,0,0,0,0,10,10,0,20,20,0
FL,2016,27,"33,559","18,198","15,361","24,201","11,641","12,560","9,358","6,557","2,801","5,895","1,402","4,493","5,415","1,219","4,196",480,183,297,"2,902","1,825","1,077","2,094","1,106",988,514,279,235,"1,580",827,753,320,237,83,5,5,0,315,232,83,485,383,102
GA,2016,9,"12,909","7,543","5,366","9,265","4,785","4,480","3,644","2,758",886,"1,815",470,"1,345","1,658",415,"1,243",157,55,102,"1,055",581,474,725,475,250,17,13,4,708,462,246,90,83,7,0,0,0,90,83,7,125,105,20
GU,2016,1,"1,085",112,973,227,18,209,858,94,764,55,0,55,15,0,15,40,0,40,21,6,15,7,4,3,1,1,0,6,3,3,10,1,9,0,0,0,10,1,9,11,1,10
HI,2016,2,"7,921","3,613","4,308","4,590","1,282","3,308","3,331","2,331","1,000","1,949",137,"1,812","1,659",120,"1,539",290,17,273,670,264,406,309,82,227,26,6,20,283,76,207,92,52,40,1,0,1,91,52,39,85,50,35
IA,2016,3,"3,064","2,921",143,"1,543","1,400",143,"1,521","1,521",0,184,137,47,159,112,47,25,25,0,170,154,16,160,150,10,18,18,0,142,132,10,112,112,0,0,0,0,112,112,0,177,177,0
ID,2016,2,"2,247","1,509",738,"1,284",886,398,963,623,340,337,160,177,227,99,128,110,61,49,267,202,65,130,89,41,16,14,2,114,75,39,39,24,15,0,0,0,39,24,15,49,31,18
IL,2016,20,"11,590","9,736","1,854","6,986","5,226","1,760","4,604","4,510",94,"1,024",620,404,937,562,375,87,58,29,949,713,236,719,648,71,28,25,3,691,623,68,340,336,4,1,1,0,339,335,4,467,461,6
IN,2016,3,"5,798","5,107",691,"3,824","3,158",666,"1,974","1,949",25,589,374,215,534,319,215,55,55,0,663,614,49,365,294,71,37,36,1,328,258,70,88,87,1,0,0,0,88,87,1,147,144,3
KS,2016,5,"2,255","1,973",282,"1,228",956,272,"1,027","1,017",10,362,254,108,233,129,104,129,125,4,169,138,31,106,80,26,19,18,1,87,62,25,17,16,1,0,0,0,17,16,1,23,22,1
